obs_id,train_id,age,sex,length,diameter,height,total_weight,shucked_weight,viscera_weight,sheel_weight
id_000001,train,16.5,M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15
id_000002,train,8.5,M,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07
id_000003,train,10.5,F,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21
id_000004,test,NA,M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155
id_000005,train,8.5,I,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055
id_000006,test,NA,I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12
id_000007,test,NA,F,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33
id_000008,valid,17.5,F,0.545,0.425,0.125,0.768,0.294,0.1495,0.26
id_000009,valid,10.5,M,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165
id_000010,train,20.5,F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32
id_000011,train,15.5,F,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21
id_000012,train,11.5,M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135
id_000013,valid,12.5,M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19
id_000014,train,11.5,F,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205
id_000015,valid,11.5,F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185
id_000016,train,13.5,M,0.5,0.4,0.13,0.6645,0.258,0.133,0.24
id_000017,valid,8.5,I,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115
id_000018,test,NA,F,0.44,0.34,0.1,0.451,0.188,0.087,0.13
id_000019,train,8.5,M,0.365,0.295,0.08,0.2555,0.097,0.043,0.1
id_000020,valid,10.5,M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115
id_000021,test,NA,M,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075
id_000022,train,11.5,I,0.38,0.275,0.1,0.2255,0.08,0.049,0.085
id_000023,valid,13.5,F,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27
id_000024,train,10.5,F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2
id_000025,test,NA,F,0.615,0.48,0.165,1.1615,0.513,0.301,0.305
id_000026,train,12.5,F,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3
id_000027,train,12.5,F,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285
id_000028,train,13.5,M,0.59,0.445,0.14,0.931,0.356,0.234,0.28
id_000029,test,NA,M,0.605,0.475,0.18,0.9365,0.394,0.219,0.295
id_000030,train,12.5,M,0.575,0.425,0.14,0.8635,0.393,0.227,0.2
id_000031,train,11.5,M,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33
id_000032,train,16.5,F,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46
id_000033,train,19.5,M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35
id_000034,train,20.5,F,0.68,0.55,0.175,1.798,0.815,0.3925,0.455
id_000035,test,NA,F,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49
id_000036,valid,9.5,M,0.465,0.355,0.105,0.4795,0.227,0.124,0.125
id_000037,valid,17.5,F,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34
id_000038,train,9.5,F,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145
id_000039,valid,12.5,F,0.575,0.445,0.135,0.883,0.381,0.2035,0.26
id_000040,train,10.5,M,0.355,0.29,0.09,0.3275,0.134,0.086,0.09
id_000041,test,NA,F,0.45,0.335,0.105,0.425,0.1865,0.091,0.115
id_000042,valid,15.5,F,0.55,0.425,0.135,0.8515,0.362,0.196,0.27
id_000043,valid,6.5,I,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02
id_000044,train,6.5,I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012
id_000045,train,5.5,I,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015
id_000046,valid,8.5,I,0.39,0.295,0.095,0.203,0.0875,0.045,0.075
id_000047,train,10.5,M,0.47,0.37,0.12,0.5795,0.293,0.227,0.14
id_000048,train,8.5,F,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15
id_000049,valid,7.5,I,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045
id_000050,valid,10.5,F,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245
id_000051,train,9.5,I,0.52,0.41,0.12,0.595,0.2385,0.111,0.19
id_000052,test,NA,M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1
id_000053,train,11.5,M,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16
id_000054,train,11.5,F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15
