obs_id,train_id,count,season,year,workingday,weather,temp,humidity,windspeed
id_000001,train,985,Winter,0,0,Rain,6.715022,0.805833,17.30021509788
id_000002,train,801,Winter,0,0,Rain,7.989548,0.696087,26.79891153542
id_000003,train,1349,Winter,0,1,Dry,-3.039976,0.437273,26.77411160602
id_000004,test,NA,Winter,0,1,Dry,-2.8,0.590435,17.28404123088
id_000005,train,1600,Winter,0,1,Dry,-1.020838,0.436957,20.152638282
id_000006,test,NA,Winter,0,1,Dry,-2.513032,0.518261,9.657437550856
id_000007,test,NA,Winter,0,1,Rain,-3.029548,0.498696,18.19301255628
id_000008,valid,959,Winter,0,0,Rain,-5.11,0.535833,28.76834940712
id_000009,valid,822,Winter,0,0,Dry,-6.870022,0.434167,39.027541071
id_000010,train,1321,Winter,0,1,Dry,-6.045022,0.482917,24.07393842326
id_000011,train,1263,Winter,0,1,Rain,-4.839994,0.686364,13.16897816296
id_000012,train,1162,Winter,0,1,Dry,-4.600018,0.599545,32.84664388406
id_000013,valid,1406,Winter,0,1,Dry,-5.11,0.470417,32.45555978
id_000014,train,1421,Winter,0,1,Dry,-5.38258,0.537826,13.64513680744
id_000015,valid,1248,Winter,0,0,Rain,-0.600021999999999,0.49875,17.03248368614
id_000016,train,1204,Winter,0,0,Dry,-0.709978,0.48375,20.31793520274
id_000017,valid,1000,Winter,0,0,Rain,-4.395022,0.5375,20.92003435826
id_000018,test,NA,Winter,0,1,Rain,-1.699978,0.861667,15.8261288595
id_000019,train,1650,Winter,0,1,Rain,3.283484,0.741739,22.46194301226
id_000020,valid,1927,Winter,0,1,Rain,1.270022,0.538333,21.12350160512
id_000021,test,NA,Winter,0,1,Dry,-4.285,0.457083,38.08859417876
id_000022,train,981,Winter,0,0,Dry,-12.0973936,0.4,18.5427993866
id_000023,valid,986,Winter,0,0,Dry,-9.6295678,0.436522,26.589837348
id_000024,train,1416,Winter,0,1,Dry,-9.5721742,0.491739,17.0720557474
id_000025,train,1985,Winter,0,1,Rain,-1.250452,0.616957,13.99535494088
id_000026,train,506,Winter,0,1,Snow,-1.645,0.8625,31.684605453
id_000027,train,431,Winter,0,1,Dry,-3.13,0.6875,12.27456331786
id_000028,train,1167,Winter,0,1,Rain,-2.570452,0.793043,13.294918674
id_000029,test,NA,Winter,0,0,Dry,-3.029548,0.651739,15.6740945097
id_000030,train,1096,Winter,0,0,Dry,-1.709548,0.722174,7.977231551428
id_000031,train,1501,Winter,0,1,Rain,-4.065022,0.60375,20.18412340976
id_000032,train,1360,Winter,0,1,Rain,-3.316516,0.829565,5.73773323114
id_000033,train,1526,Winter,0,1,Rain,1.16,0.775417,28.49921626024
id_000034,train,1550,Winter,0,1,Dry,-3.660838,0.437826,29.94882604656
id_000035,valid,1708,Winter,0,1,Rain,-2.053936,0.585217,13.78433988942
id_000036,valid,1005,Winter,0,0,Rain,-0.600021999999999,0.929167,17.36846881662
id_000037,test,NA,Winter,0,0,Dry,2.864978,0.568333,15.289695604
id_000038,train,1712,Winter,0,1,Dry,1.930022,0.738333,4.896185365974
id_000039,valid,1530,Winter,0,1,Dry,-1.425022,0.537917,39.027541071
id_000040,train,1605,Winter,0,1,Rain,-7.104322,0.494783,20.36171246942
id_000041,valid,1538,Winter,0,1,Dry,-6.473032,0.437391,23.9303144843
id_000042,valid,1746,Winter,0,1,Dry,-3.519994,0.506364,11.704488419
id_000043,valid,1472,Winter,0,0,Dry,-1.315,0.544167,21.92820540126
id_000044,train,1589,Winter,0,0,Dry,4.890452,0.457391,28.12991296374
id_000045,train,1913,Winter,0,1,Dry,11.39,0.375833,45.06125606824
id_000046,valid,1815,Winter,0,1,Dry,1.561742,0.314348,31.41762882172
id_000047,train,2115,Winter,0,1,Dry,5.005226,0.423478,27.14956097198
id_000048,train,2475,Winter,0,1,Dry,12.764978,0.505,24.81114328112
id_000049,valid,2927,Winter,0,1,Dry,18.430022,0.516667,28.5657447665
id_000050,valid,1635,Winter,0,0,Dry,10.345022,0.187917,54.71759379614
id_000051,train,1812,Winter,0,0,Dry,2.824322,0.407826,24.0704879983
id_000052,test,NA,Winter,0,0,Rain,4.019978,0.605,33.19373506988
id_000053,train,1450,Winter,0,1,Dry,-3.973348,0.577778,21.09967210774
id_000054,train,1917,Winter,0,1,Dry,-1.365226,0.423043,10.14780763314
id_000055,train,1807,Winter,0,1,Rain,3.513032,0.697391,27.00992658688
id_000056,train,1461,Winter,0,1,Rain,8.046968,0.712174,37.36583797542
id_000057,train,1969,Winter,0,0,Dry,2.645,0.537917,20.11716360038
id_000058,train,2402,Winter,0,0,Dry,6.669548,0.68,13.50496329344
id_000059,valid,1446,Winter,0,1,Rain,10.880018,0.876364,31.23561890508
id_000060,train,1851,Winter,0,1,Dry,1.600022,0.535,23.3361944365
id_000061,test,NA,Winter,0,1,Dry,6.11,0.449583,33.19233333474
id_000062,train,1685,Winter,0,1,Dry,-2.910022,0.318333,24.34210113812
id_000063,train,1944,Winter,0,1,Rain,1.270022,0.610417,21.92594105988
id_000064,train,2077,Winter,0,0,Rain,9.355022,0.789167,27.15818703438
id_000065,train,605,Winter,0,0,Rain,8.850452,0.948261,37.01518853886
id_000066,train,1872,Winter,0,1,Dry,1.274774,0.551304,36.80654565456
id_000067,train,2133,Winter,0,1,Dry,3.305,0.420833,13.009180357
id_000068,valid,1891,Winter,0,1,Rain,3.524978,0.775417,23.737845467
id_000069,train,623,Winter,0,1,Snow,9.680006,0,28.23709178906
id_000070,valid,1977,Winter,0,1,Rain,4.890452,0.649565,25.1201719666
id_000071,train,2132,Winter,0,0,Dry,5.725022,0.594583,23.8052365795
id_000072,valid,2417,Winter,0,0,Dry,9.366968,0.527391,29.17808737112
id_000073,train,2046,Winter,0,1,Dry,5.464322,0.496957,14.76415275228
id_000074,train,2056,Winter,0,1,Rain,4.947806,0.655652,19.87326168602
