obs_id,train_id,median_house_value,population,latitude,longitude,total_units,vacant_units,median_rooms,mean_household_size_owners,mean_household_size_renters,built_2005_or_later,built_2000_to_2004,built_1990s,built_1980s,built_1970s,built_1960s,built_1950s,built_1940s,built_1939_or_earlier,bedrooms_0,bedrooms_1,bedrooms_2,bedrooms_3,bedrooms_4,bedrooms_5_or_more,owners,renters,median_household_income,mean_household_income
id_000001,train,909600,1974,37.848292,-122.249525,929,37,6,2.53,1.81,0,1.2,0,1.3,6.1,6.5,1,10.8,73.2,3,16.4,27.4,34.4,17.5,1.2,66,34,111667,195229
id_000002,train,748700,4865,37.840265,-122.254416,2655,134,4.6,2.45,1.66,0,0,2.3,3.2,5.2,8.3,5.3,7.8,68,11.5,28.4,29.2,20.4,7.9,2.7,45.1,54.9,66094,105877
id_000003,train,773600,3703,37.848451,-122.25731,1911,68,5,2.04,2.19,0,0.2,1.3,0,4.9,4.3,8,10.4,71.1,5.2,27.7,33.7,21.9,7.3,4.2,45,55,87306,106248
id_000004,test,NA,3517,37.848941,-122.264742,1703,71,4.5,2.66,1.72,0,0.2,1.1,1.9,3.7,5.8,6,7.5,73.8,4.9,30.2,38.1,19.3,5.4,2.1,43.6,56.4,62386,74604
id_000005,train,480800,1571,37.842226,-122.264926,781,65,4.8,2.58,2.18,0,0,1.2,1.4,1,6.5,19.7,17,53.1,3.5,20.4,40.1,30.7,4.6,0.8,51,49,55658,73933
id_000006,test,NA,4206,37.841719,-122.27215,1977,236,4.3,2.72,2.15,0,0.6,1.8,2.2,3.3,0.8,9.4,9.7,72.4,8.2,22.3,43.2,16.7,6.5,3.1,32.2,67.8,38646,56705
id_000007,test,NA,3594,37.845393,-122.283126,1738,257,4.3,2.17,1.93,13.1,4.1,1.6,2.4,7.8,3.7,7.5,13.3,46.5,8.9,25,37.5,25,2.1,1.4,28.3,71.7,52837,66822
id_000008,valid,439300,2302,37.839285,-122.280316,1202,80,4.4,2.7,1.92,0,2.2,0.6,5.9,0,5.5,9.1,14.7,62,14.2,20.1,39.4,18.3,5.5,2.5,31.7,68.3,59091,59690
id_000009,valid,369800,5678,37.831263,-122.272163,2665,500,4.6,2.75,2.08,0,2.2,0,0.5,4.3,11.2,11.3,8.5,62.1,6.1,29.3,35.4,25.3,3.9,0,35.1,64.9,40402,50056
id_000010,train,467200,4156,37.829959,-122.263403,2182,148,3.5,2.3,1.96,0.4,1.1,1.7,0.5,4.1,3.6,13.4,11.8,63.3,11,44,24.4,16.1,3.7,0.8,16.8,83.2,44140,56674
