obs_id,train_id,median_house_value,population,latitude,longitude,total_units,vacant_units,median_rooms,mean_household_size_owners,mean_household_size_renters,built_2005_or_later,built_2000_to_2004,built_1990s,built_1980s,built_1970s,built_1960s,built_1950s,built_1940s,built_1939_or_earlier,bedrooms_0,bedrooms_1,bedrooms_2,bedrooms_3,bedrooms_4,bedrooms_5_or_more,owners,renters
id_000001,train,722500,6521,37.553327,-122.273107,2843,214,4.5,2.47,2.17,0,1.4,16.7,24.7,44.6,8.8,0.4,2.9,0.5,1.8,27.1,39,18.7,10.3,3.1,48.8,51.2
id_000002,test,NA,4189,40.880168,-77.826606,1663,32,6,2.53,1.71,9.5,3.8,18,26.2,16.5,8.7,8.3,1.3,7.6,0,2.4,25.9,49.5,18.8,3.3,94.8,5.2
id_000003,train,314600,5504,32.741059,-117.107687,1555,107,4.4,3.85,3.75,3.3,0,4.1,12.2,9.1,8.5,33.8,15.8,13.2,1.2,13.2,42.8,34.6,8.2,0,50.5,49.5
id_000004,train,585200,2354,32.973853,-117.095755,1004,32,4.5,2.91,2.72,0,0,5.4,33.3,44.9,12,2,0,2.5,1.9,6.5,60.6,12,15.9,3.2,29,71
id_000005,valid,617600,5869,37.572116,-122.051936,1882,60,6.2,3.22,3.72,0,1.2,4,61.6,27.2,3.5,1.9,0,0.6,0.6,0.7,12.5,38.2,45.6,2.3,79.4,20.6
id_000006,test,NA,3937,40.287805,-75.232583,1397,118,7.7,3.07,3.01,4.2,9,13.8,11.5,23.1,11.3,18.8,3.4,4.8,0,0.7,9.9,42.3,37.2,9.9,88.9,11.1
id_000007,train,483800,2856,38.294292,-122.287379,1214,163,4.3,2.66,2.09,1.1,3.4,1.6,16.3,3,3.5,8.8,2,60.5,7,25.3,42.5,14.5,3.5,7.2,28.9,71.1
id_000008,train,731600,5007,36.903321,-121.38237,1645,114,6.2,3.01,3.86,3.6,6.4,20.3,16.8,15.2,13.9,4.5,2.9,16.4,0,2.7,20,44,25,8.3,64.7,35.3
id_000009,test,NA,1432,40.4937,-79.861428,875,69,4.3,2.09,1.47,0,8.6,3.2,12.5,8.3,11.5,13.7,13.6,28.6,0.5,40.6,26.5,24.7,7,0.8,37.5,62.5
id_000010,test,NA,2122,40.412168,-79.878663,1093,156,4.6,2.53,2.24,0,0,3.5,0.8,10.2,10.8,2.6,19.4,52.7,0.5,12.1,48.1,34.1,4.4,0.7,32.2,67.8
