obs_id,train_id,crime_type,year,month,day,hour,location,latitude,longitude
id_000001,train,2,2001,11,17,18,STREET,41.898402712,-87.6388974
id_000002,train,4,2002,3,7,21,RESIDENCE,41.852570602,-87.71364792
id_000003,train,3,2007,2,10,17,STREET,41.947310094,-87.650306328
id_000004,test,NA,2005,8,6,11,ALLEY,41.707112071,-87.627537804
id_000005,train,5,2003,7,10,15,PARK PROPERTY,41.907047739,-87.663497879
id_000006,test,NA,2012,3,27,22,RESIDENCE,41.73576911,-87.58054668
id_000007,test,NA,2004,2,8,21,STREET,41.796866589,-87.670737898
id_000008,valid,4,2006,12,18,19,GAS STATION,41.902370457,-87.76565911
id_000009,valid,5,2004,1,31,19,STREET,41.959400713,-87.700025124
id_000010,train,1,2012,10,21,1,RESIDENTIAL YARD (FRONT/BACK),41.974440545,-87.790320856
id_000011,train,5,2009,8,26,1,STREET,41.940077729,-87.642282653
id_000012,train,4,2015,7,16,18,APARTMENT,41.902680234,-87.725388663
id_000013,valid,2,2013,10,7,20,STREET,41.699584978,-87.628081503
id_000014,train,5,2011,1,14,17,VACANT LOT/LAND,41.812583891,-87.595678052
id_000015,valid,1,2009,11,8,7,APARTMENT,41.74568549,-87.611963132
id_000016,train,3,2004,9,28,2,SIDEWALK,41.910352215,-87.685087464
id_000017,valid,3,2002,6,19,19,STREET,41.802977153,-87.743027394
id_000018,test,NA,2006,9,12,22,STREET,41.737788026,-87.612941863
id_000019,train,1,2016,6,19,18,RESIDENCE-GARAGE,41.73885903,-87.652208285
id_000020,valid,2,2011,2,20,11,STREET,41.797222838,-87.653739707
id_000021,test,NA,2007,12,25,19,APARTMENT,41.655308597,-87.613159131
id_000022,train,4,2003,11,6,15,DELIVERY TRUCK,41.758092329,-87.633682992
id_000023,valid,1,2011,1,15,17,RESIDENCE,41.795248821,-87.66340174
id_000024,train,5,2004,12,24,23,BAR OR TAVERN,41.895287937,-87.631214259
id_000025,train,2,2011,7,14,11,SIDEWALK,41.878460682,-87.755919637
id_000026,train,5,2002,2,2,13,RESIDENCE,41.948412054,-87.644133577
id_000027,train,1,2007,1,1,12,PARKING LOT/GARAGE(NON.RESID.),41.898680349,-87.643985382
id_000028,train,1,2011,10,21,18,STREET,41.876610404,-87.758524981
id_000029,test,NA,2011,2,5,1,STREET,41.649710333,-87.537455263
id_000030,train,5,2016,8,29,14,RESTAURANT,41.73582089,-87.661029983
id_000031,train,2,2008,9,16,19,ALLEY,41.888229536,-87.76513795
id_000032,train,2,2013,9,24,20,SIDEWALK,41.787658582,-87.652278668
id_000033,train,1,2016,4,12,6,STREET,41.967894291,-87.71824209
id_000034,train,5,2004,3,9,14,STREET,41.855327241,-87.712890846
id_000035,test,NA,2005,9,23,3,STREET,41.789911478,-87.662041878
id_000036,valid,1,2005,7,5,20,POLICE FACILITY/VEH PARKING LOT,41.787110358,-87.703370041
id_000037,valid,2,2003,10,4,16,STREET,41.901244618,-87.754524263
id_000038,train,2,2003,11,14,2,STREET,41.770866209,-87.60571674
id_000039,valid,4,2001,7,11,18,RESTAURANT,41.7366887,-87.594110696
id_000040,train,2,2003,8,17,20,STREET,41.9084987,-87.759657059
id_000041,test,NA,2008,1,29,23,STREET,41.852505917,-87.7052761
id_000042,valid,3,2008,3,13,16,STREET,41.887209971,-87.765954936
id_000043,valid,3,2004,3,11,12,STREET,41.866428839,-87.703509785
id_000044,train,2,2003,1,23,11,"SCHOOL, PUBLIC, BUILDING",41.803201891,-87.72198373
id_000045,train,1,2008,2,28,16,ALLEY,41.79533148,-87.778240858
id_000046,valid,1,2010,11,1,19,STREET,41.701199673,-87.618477034
id_000047,train,3,2016,5,21,2,SIDEWALK,41.866023916,-87.735575126
id_000048,train,2,2007,7,13,17,SIDEWALK,41.903242472,-87.71657814
id_000049,valid,5,2004,3,1,17,STREET,41.771676051,-87.572296646
id_000050,valid,4,2015,8,4,1,SIDEWALK,41.877184166,-87.686340752
id_000051,train,4,2013,8,31,23,ALLEY,41.941726802,-87.7272637
id_000052,test,NA,2015,3,26,22,STREET,41.75418615,-87.55501442
id_000053,train,3,2006,8,7,11,STREET,41.881230117,-87.682135713
id_000054,train,4,2004,7,16,15,SIDEWALK,41.863962923,-87.70925367
id_000055,train,5,2003,10,16,2,STREET,42.015894034,-87.69087606
id_000056,train,1,2012,4,28,23,STREET,41.692345957,-87.621046509
id_000057,train,4,2009,6,26,20,PARK PROPERTY,41.775519362,-87.654390481
id_000058,train,1,2004,1,19,17,PARKING LOT/GARAGE(NON.RESID.),41.939086945,-87.727799589
id_000059,valid,2,2004,2,2,15,SIDEWALK,41.791617118,-87.660879967
id_000060,train,1,2007,10,9,22,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,41.749638738,-87.663421759
id_000061,test,NA,2005,8,13,22,STREET,41.88111644,-87.691188718
id_000062,train,3,2014,8,12,20,PARKING LOT/GARAGE(NON.RESID.),41.967602242,-87.710898023
id_000063,train,3,2012,1,24,20,STREET,41.80856602,-87.668933738
id_000064,train,3,2010,1,7,7,STREET,41.881345106,-87.698754758
id_000065,valid,3,2006,7,17,7,STREET,41.851961298,-87.691153739
id_000066,train,5,2013,3,12,22,PARKING LOT/GARAGE(NON.RESID.),41.755635034,-87.732393134
id_000067,train,2,2012,8,26,12,STREET,41.873788515,-87.696964272
id_000068,valid,2,2009,7,19,18,STREET,41.750370861,-87.662377041
id_000069,train,4,2009,9,22,23,CTA PLATFORM,41.88295227,-87.633861149
id_000070,test,NA,2001,11,26,6,STREET,41.733314531,-87.575775883
id_000071,train,3,2001,9,25,13,STREET,41.808468467,-87.689391167
id_000072,test,NA,2004,6,11,24,SIDEWALK,41.907378172,-87.689603086
id_000073,train,3,2004,10,18,18,STREET,41.88093546,-87.709132611
id_000074,train,1,2004,2,27,16,"SCHOOL, PUBLIC, BUILDING",41.78210152,-87.586502002
id_000075,train,1,2004,10,12,17,VACANT LOT/LAND,41.66968649,-87.640435034
id_000076,test,NA,2008,10,26,22,RESIDENCE-GARAGE,41.972622792,-87.800040981
id_000077,test,NA,2011,9,16,19,RESIDENCE,41.772981304,-87.676171134
id_000078,train,4,2005,1,22,15,ALLEY,41.858384589,-87.707876278
id_000079,valid,1,2010,9,3,19,STREET,42.016023087,-87.669192782
id_000080,test,NA,2005,1,1,12,DRIVEWAY - RESIDENTIAL,41.942602042,-87.83067076
id_000081,train,1,2002,10,2,12,HOTEL/MOTEL,41.888057631,-87.629545308
id_000082,valid,2,2013,10,17,21,STREET,41.797751142,-87.61605544
id_000083,train,5,2012,7,23,22,STREET,41.765160516,-87.647146658
id_000084,train,3,2006,9,14,20,STREET,41.800844112,-87.664762808
id_000085,valid,1,2004,1,22,7,RESIDENCE-GARAGE,41.932733398,-87.692780748
id_000086,train,5,2002,9,15,3,STREET,41.911778551,-87.651335554
id_000087,valid,1,2015,7,17,12,APARTMENT,41.960083218,-87.700875033
id_000088,train,1,2009,1,22,12,RESTAURANT,41.783850745,-87.683767334
id_000089,train,4,2012,9,2,18,SIDEWALK,41.847752625,-87.700235638
id_000090,train,3,2004,8,20,17,STREET,41.910870605,-87.688451145
id_000091,train,5,2006,4,8,16,PARK PROPERTY,41.941072219,-87.715151474
id_000092,train,3,2008,1,29,21,STREET,41.880850198,-87.716205977
id_000093,valid,2,2016,3,24,10,BANK,41.881016537,-87.632339962
id_000094,test,NA,2001,2,5,21,STREET,41.890104431,-87.63307063
id_000095,valid,1,2010,1,23,4,RESIDENTIAL YARD (FRONT/BACK),41.753133791,-87.670788403
id_000096,valid,3,2003,7,17,6,STREET,41.916375298,-87.724086642
id_000097,train,5,2016,12,13,11,GROCERY FOOD STORE,41.736264617,-87.627929503
id_000098,train,1,2008,4,19,10,APARTMENT,41.774282621,-87.613083533
id_000099,test,NA,2013,9,14,6,SIDEWALK,41.858413159,-87.724945467
id_000100,valid,4,2006,5,5,10,PARK PROPERTY,41.983087205,-87.705752491
id_000101,valid,4,2003,11,3,19,STREET,41.893393279,-87.766616423
id_000102,train,4,2007,2,17,8,STREET,41.710541137,-87.611418613
id_000103,train,1,2005,10,15,22,APARTMENT,41.769653936,-87.660306589
id_000104,test,NA,2004,11,4,19,STREET,41.897237789,-87.759397891
id_000105,valid,1,2001,7,29,1,STREET,41.854192613,-87.622696619
id_000106,train,4,2001,5,18,17,PARK PROPERTY,41.789276302,-87.732706086
id_000107,train,2,2002,1,25,13,RESIDENCE,41.799621611,-87.655643463
id_000108,train,3,2003,10,24,21,ALLEY,41.807738845,-87.66495155
id_000109,test,NA,2005,9,17,19,PARK PROPERTY,41.880890949,-87.619525593
id_000110,train,5,2002,10,19,13,APARTMENT,41.828111292,-87.675226018
id_000111,test,NA,2005,10,18,22,SIDEWALK,41.833825419,-87.652255478
id_000112,valid,5,2014,4,3,18,SMALL RETAIL STORE,41.918431595,-87.690032129
id_000113,train,2,2015,6,8,22,VEHICLE NON-COMMERCIAL,41.89765683,-87.726152565
