obs_id,train_id,class,class_name
id_000001,valid,2,bird
id_000002,test,NA,NA
id_000003,valid,5,dog
id_000004,train,9,truck
id_000005,train,2,bird
id_000006,valid,8,ship
id_000007,valid,9,truck
id_000008,test,NA,NA
id_000009,train,6,frog
id_000010,valid,0,airplane
id_000011,train,2,bird
id_000012,test,NA,NA
id_000013,train,6,frog
id_000014,train,3,cat
id_000015,test,NA,NA
id_000016,valid,4,deer
id_000017,train,7,horse
id_000018,train,9,truck
id_000019,test,NA,NA
id_000020,test,NA,NA
id_000021,test,NA,NA
id_000022,train,2,bird
id_000023,valid,6,frog
id_000024,valid,1,car
id_000025,valid,2,bird
id_000026,train,3,cat
id_000027,test,NA,NA
id_000028,train,3,cat
id_000029,train,8,ship
id_000030,test,NA,NA
id_000031,valid,4,deer
id_000032,test,NA,NA
id_000033,train,4,deer
id_000034,valid,1,car
id_000035,valid,8,ship
id_000036,train,6,frog
id_000037,train,7,horse
id_000038,train,1,car
id_000039,test,NA,NA
id_000040,train,4,deer
id_000041,test,NA,NA
id_000042,train,6,frog
id_000043,test,NA,NA
id_000044,valid,5,dog
id_000045,test,NA,NA
id_000046,train,7,horse
id_000047,valid,0,airplane
id_000048,test,NA,NA
id_000049,test,NA,NA
id_000050,train,6,frog
id_000051,train,4,deer
id_000052,train,8,ship
id_000053,test,NA,NA
id_000054,valid,2,bird
id_000055,train,0,airplane
id_000056,valid,0,airplane
id_000057,valid,3,cat
id_000058,train,5,dog
id_000059,train,6,frog
id_000060,train,4,deer
id_000061,train,9,truck
id_000062,valid,2,bird
id_000063,test,NA,NA
id_000064,valid,3,cat
id_000065,valid,6,frog
id_000066,train,2,bird
id_000067,train,4,deer
id_000068,test,NA,NA
id_000069,train,0,airplane
id_000070,valid,8,ship
id_000071,train,3,cat
id_000072,valid,8,ship
id_000073,train,3,cat
id_000074,valid,3,cat
id_000075,train,4,deer
id_000076,train,8,ship
id_000077,valid,8,ship
id_000078,train,3,cat
id_000079,valid,7,horse
id_000080,train,9,truck
id_000081,train,4,deer
id_000082,train,7,horse
id_000083,valid,3,cat
id_000084,valid,3,cat
id_000085,train,7,horse
id_000086,train,2,bird
id_000087,valid,7,horse
id_000088,valid,1,car
id_000089,test,NA,NA
id_000090,train,1,car
id_000091,train,2,bird
id_000092,valid,0,airplane
id_000093,valid,6,frog
id_000094,valid,8,ship
id_000095,train,7,horse
id_000096,valid,7,horse
id_000097,train,4,deer
id_000098,train,4,deer
id_000099,train,8,ship
id_000100,train,6,frog
id_000101,train,6,frog
id_000102,train,3,cat
id_000103,train,2,bird
id_000104,valid,9,truck
id_000105,test,NA,NA
id_000106,valid,2,bird
id_000107,train,1,car
id_000108,test,NA,NA
id_000109,train,9,truck
id_000110,train,5,dog
id_000111,valid,9,truck
id_000112,valid,7,horse
id_000113,test,NA,NA
id_000114,test,NA,NA
id_000115,test,NA,NA
id_000116,test,NA,NA
id_000117,valid,7,horse
id_000118,valid,1,car
id_000119,train,4,deer
id_000120,train,6,frog
id_000121,test,NA,NA
id_000122,test,NA,NA
id_000123,train,4,deer
id_000124,train,1,car
id_000125,test,NA,NA
id_000126,train,4,deer
id_000127,train,5,dog
id_000128,valid,2,bird
id_000129,valid,2,bird
id_000130,train,5,dog
id_000131,train,5,dog
id_000132,train,0,airplane
id_000133,test,NA,NA
id_000134,valid,6,frog
id_000135,train,9,truck
id_000136,train,5,dog
id_000137,train,5,dog
id_000138,train,5,dog
id_000139,train,9,truck
id_000140,test,NA,NA
id_000141,test,NA,NA
id_000142,test,NA,NA
id_000143,valid,2,bird
id_000144,train,2,bird
id_000145,train,7,horse
id_000146,train,4,deer
id_000147,valid,1,car
id_000148,train,7,horse
id_000149,test,NA,NA
id_000150,test,NA,NA
id_000151,valid,6,frog
id_000152,train,5,dog
id_000153,train,3,cat
id_000154,valid,4,deer
id_000155,train,4,deer
id_000156,test,NA,NA
id_000157,test,NA,NA
id_000158,train,0,airplane
id_000159,train,2,bird
id_000160,train,2,bird
id_000161,train,2,bird
id_000162,train,8,ship
id_000163,train,4,deer
id_000164,test,NA,NA
id_000165,train,8,ship
id_000166,test,NA,NA
id_000167,train,0,airplane
id_000168,train,3,cat
id_000169,train,7,horse
id_000170,test,NA,NA
id_000171,train,6,frog
id_000172,train,8,ship
id_000173,train,8,ship
id_000174,train,3,cat
id_000175,test,NA,NA
id_000176,valid,8,ship
id_000177,train,6,frog
id_000178,train,7,horse
id_000179,valid,6,frog
id_000180,test,NA,NA
id_000181,valid,2,bird
id_000182,train,1,car
id_000183,train,8,ship
id_000184,train,5,dog
id_000185,valid,8,ship
id_000186,train,1,car
id_000187,train,7,horse
id_000188,valid,7,horse
id_000189,valid,9,truck
id_000190,test,NA,NA
id_000191,train,7,horse
id_000192,train,3,cat
id_000193,train,1,car
id_000194,test,NA,NA
id_000195,test,NA,NA
id_000196,test,NA,NA
id_000197,train,1,car
id_000198,train,8,ship
id_000199,valid,3,cat
id_000200,test,NA,NA
id_000201,train,2,bird
id_000202,valid,2,bird
id_000203,test,NA,NA
id_000204,valid,2,bird
id_000205,train,1,car
id_000206,train,5,dog
id_000207,test,NA,NA
id_000208,valid,1,car
id_000209,train,2,bird
id_000210,valid,7,horse
id_000211,valid,9,truck
id_000212,test,NA,NA
id_000213,test,NA,NA
id_000214,train,9,truck
id_000215,valid,8,ship
id_000216,test,NA,NA
id_000217,valid,6,frog
id_000218,valid,9,truck
id_000219,train,9,truck
id_000220,train,3,cat
id_000221,valid,2,bird
id_000222,valid,1,car
id_000223,valid,3,cat
id_000224,train,5,dog
id_000225,test,NA,NA
id_000226,valid,5,dog
id_000227,test,NA,NA
id_000228,train,0,airplane
id_000229,train,4,deer
id_000230,train,8,ship
id_000231,train,3,cat
id_000232,train,1,car
id_000233,valid,3,cat
id_000234,valid,6,frog
id_000235,train,3,cat
id_000236,test,NA,NA
id_000237,valid,6,frog
id_000238,valid,5,dog
id_000239,test,NA,NA
id_000240,test,NA,NA
id_000241,train,3,cat
id_000242,train,5,dog
id_000243,train,9,truck
id_000244,train,1,car
id_000245,train,4,deer
id_000246,test,NA,NA
id_000247,test,NA,NA
id_000248,train,1,car
id_000249,test,NA,NA
id_000250,valid,9,truck
id_000251,test,NA,NA
id_000252,train,9,truck
id_000253,valid,4,deer
id_000254,valid,6,frog
id_000255,train,4,deer
id_000256,train,1,car
id_000257,train,2,bird
id_000258,valid,4,deer
id_000259,test,NA,NA
id_000260,test,NA,NA
id_000261,valid,5,dog
id_000262,train,3,cat
id_000263,train,2,bird
id_000264,train,7,horse
id_000265,valid,6,frog
id_000266,train,1,car
id_000267,valid,0,airplane
id_000268,train,7,horse
id_000269,valid,6,frog
id_000270,train,1,car
id_000271,train,0,airplane
id_000272,train,1,car
id_000273,test,NA,NA
id_000274,train,1,car
id_000275,train,2,bird
id_000276,test,NA,NA
id_000277,test,NA,NA
