obs_id,train_id,class,class_name
id_000551,train,0,cat
id_001971,train,0,cat
id_001287,train,0,cat
id_003096,train,1,dog
id_001914,valid,0,cat
id_001516,train,0,cat
id_000684,valid,0,cat
id_002112,train,1,dog
id_001635,test,NA,NA
id_003186,train,1,dog
id_003566,train,1,dog
id_000622,train,0,cat
id_003507,train,1,dog
id_003806,train,1,dog
id_001985,test,NA,NA
id_001183,train,0,cat
id_000433,train,0,cat
id_001922,train,0,cat
id_000546,train,0,cat
id_002466,train,1,dog
id_002043,train,1,dog
id_000035,test,NA,NA
id_003119,valid,1,dog
id_002312,train,1,dog
id_001826,train,0,cat
id_000955,test,NA,NA
id_001077,train,0,cat
id_000086,train,0,cat
id_000154,valid,0,cat
id_003355,test,NA,NA
id_002648,train,1,dog
id_001285,test,NA,NA
id_003772,train,1,dog
id_002936,train,1,dog
id_001555,test,NA,NA
id_003764,valid,1,dog
id_003165,test,NA,NA
id_002522,train,1,dog
id_003974,valid,1,dog
id_001481,train,0,cat
id_003797,train,1,dog
id_000882,train,0,cat
id_003679,valid,1,dog
id_001588,train,0,cat
id_002719,valid,1,dog
id_001268,train,0,cat
id_002938,train,1,dog
id_000649,valid,0,cat
id_001341,train,0,cat
id_001987,train,0,cat
id_003777,train,1,dog
id_000559,valid,0,cat
id_001866,train,0,cat
id_000753,train,0,cat
id_001722,train,0,cat
id_002599,valid,1,dog
id_000741,train,0,cat
id_003433,train,1,dog
id_002845,test,NA,NA
id_001012,train,0,cat
id_003464,valid,1,dog
id_000437,train,0,cat
id_003408,train,1,dog
id_001688,train,0,cat
id_003357,train,1,dog
id_002816,train,1,dog
id_002390,test,NA,NA
id_001988,train,0,cat
id_002127,train,1,dog
id_003852,train,1,dog
id_002985,test,NA,NA
id_003169,valid,1,dog
id_001787,train,0,cat
id_000474,valid,0,cat
id_002445,test,NA,NA
id_000017,train,0,cat
id_000637,train,0,cat
id_001160,test,NA,NA
id_001219,valid,0,cat
id_000832,train,0,cat
id_001423,train,0,cat
id_002213,train,1,dog
id_000130,test,NA,NA
id_003127,train,1,dog
id_000888,train,0,cat
id_001416,train,0,cat
id_002544,valid,1,dog
id_000447,train,0,cat
id_001126,train,0,cat
id_003135,test,NA,NA
id_000355,test,NA,NA
id_000063,train,0,cat
id_001951,train,0,cat
id_000954,valid,0,cat
id_003049,valid,1,dog
id_002564,valid,1,dog
id_001936,train,0,cat
id_001032,train,0,cat
id_001757,train,0,cat
id_002235,test,NA,NA
id_003166,train,1,dog
id_001325,test,NA,NA
id_000176,train,0,cat
id_001976,train,0,cat
id_002212,train,1,dog
id_003601,train,1,dog
id_002137,train,1,dog
id_003739,valid,1,dog
id_001786,train,0,cat
id_003668,train,1,dog
id_001718,train,0,cat
id_000496,train,0,cat
id_003481,train,1,dog
id_001223,train,0,cat
id_000565,test,NA,NA
id_000361,train,0,cat
id_003526,train,1,dog
id_001134,valid,0,cat
id_002036,train,1,dog
id_002017,train,1,dog
id_000610,test,NA,NA
id_001586,train,0,cat
id_000096,train,0,cat
id_003027,train,1,dog
id_002678,train,1,dog
id_000171,train,0,cat
id_002361,train,1,dog
id_000459,valid,0,cat
id_001086,train,0,cat
id_003338,train,1,dog
id_000311,train,0,cat
id_002595,test,NA,NA
id_003023,train,1,dog
id_000891,train,0,cat
id_002604,valid,1,dog
id_000384,valid,0,cat
id_000739,valid,0,cat
id_001334,valid,0,cat
id_003533,train,1,dog
id_000234,valid,0,cat
id_001246,train,0,cat
id_000804,valid,0,cat
id_001293,train,0,cat
id_001422,train,0,cat
id_001875,test,NA,NA
id_003246,train,1,dog
id_000068,train,0,cat
id_001081,train,0,cat
id_002128,train,1,dog
id_001981,train,0,cat
id_003525,test,NA,NA
id_001628,train,0,cat
id_002397,train,1,dog
id_002528,train,1,dog
id_003137,train,1,dog
id_002775,test,NA,NA
id_003921,train,1,dog
id_003149,valid,1,dog
id_002806,train,1,dog
id_000419,valid,0,cat
id_001248,train,0,cat
id_002682,train,1,dog
id_000830,test,NA,NA
id_001277,train,0,cat
id_001880,test,NA,NA
id_003845,test,NA,NA
id_002935,test,NA,NA
id_000604,valid,0,cat
id_002468,train,1,dog
id_003085,test,NA,NA
id_000397,train,0,cat
id_001168,train,0,cat
id_000262,train,0,cat
id_002396,train,1,dog
id_002736,train,1,dog
id_003222,train,1,dog
id_003800,test,NA,NA
id_000190,test,NA,NA
id_000180,test,NA,NA
id_002556,train,1,dog
id_000014,valid,0,cat
id_001765,test,NA,NA
id_002694,valid,1,dog
id_001002,train,0,cat
id_000143,train,0,cat
id_003959,valid,1,dog
id_000392,train,0,cat
id_000723,train,0,cat
id_001602,train,0,cat
id_000743,train,0,cat
id_003678,train,1,dog
id_001250,test,NA,NA
id_002809,valid,1,dog
id_003233,train,1,dog
id_001668,train,0,cat
id_000444,valid,0,cat
id_003017,train,1,dog
id_002849,valid,1,dog
id_003713,train,1,dog
id_000713,train,0,cat
id_002949,valid,1,dog
id_000853,train,0,cat
id_003964,valid,1,dog
id_001741,train,0,cat
id_001206,train,0,cat
id_000148,train,0,cat
id_001172,train,0,cat
id_001188,train,0,cat
id_003563,train,1,dog
id_000844,valid,0,cat
id_000603,train,0,cat
id_003585,test,NA,NA
id_003634,valid,1,dog
id_001025,test,NA,NA
id_000018,train,0,cat
id_002376,train,1,dog
id_000671,train,0,cat
id_003755,test,NA,NA
id_001478,train,0,cat
id_000771,train,0,cat
id_002355,test,NA,NA
id_001254,valid,0,cat
id_001236,train,0,cat
id_000305,test,NA,NA
id_002026,train,1,dog
id_002591,train,1,dog
id_002385,test,NA,NA
id_003692,train,1,dog
id_000686,train,0,cat
id_001421,train,0,cat
id_001281,train,0,cat
id_003220,test,NA,NA
id_003444,valid,1,dog
id_000513,train,0,cat
id_002476,train,1,dog
id_003342,train,1,dog
id_002130,test,NA,NA
id_002223,train,1,dog
id_002453,train,1,dog
id_003724,valid,1,dog
id_002293,train,1,dog
id_000748,train,0,cat
id_003273,train,1,dog
id_003104,valid,1,dog
id_000916,train,0,cat
id_003593,train,1,dog
id_000986,train,0,cat
id_002967,train,1,dog
id_000960,test,NA,NA
id_002680,test,NA,NA
id_001677,train,0,cat
id_003803,train,1,dog
id_002217,train,1,dog
id_000092,train,0,cat
id_003592,train,1,dog
id_000541,train,0,cat
id_003667,train,1,dog
id_003587,train,1,dog
id_000532,train,0,cat
id_002012,train,1,dog
id_001886,train,0,cat
id_000562,train,0,cat
id_000880,test,NA,NA
id_000510,test,NA,NA
id_002618,train,1,dog
id_003039,valid,1,dog
id_003406,train,1,dog
id_000719,valid,0,cat
id_003138,train,1,dog
id_001282,train,0,cat
id_002904,valid,1,dog
id_001149,valid,0,cat
id_001851,train,0,cat
id_003958,train,1,dog
id_003238,train,1,dog
id_002141,train,1,dog
id_003893,train,1,dog
id_001103,train,0,cat
id_001075,test,NA,NA
id_001436,train,0,cat
id_000434,valid,0,cat
id_003721,train,1,dog
id_000527,train,0,cat
id_002831,train,1,dog
id_001771,train,0,cat
id_001575,test,NA,NA
id_003747,train,1,dog
id_000501,train,0,cat
id_001862,train,0,cat
id_000990,test,NA,NA
id_001813,train,0,cat
id_003750,test,NA,NA
id_003906,train,1,dog
id_002357,train,1,dog
id_001609,valid,0,cat
id_003219,valid,1,dog
id_002411,train,1,dog
id_000757,train,0,cat
id_000264,valid,0,cat
id_002167,train,1,dog
id_000373,train,0,cat
id_003930,test,NA,NA
id_001870,test,NA,NA
id_003321,train,1,dog
id_000705,test,NA,NA
id_000577,train,0,cat
id_003672,train,1,dog
id_002358,train,1,dog
id_001135,test,NA,NA
id_001536,train,0,cat
id_003019,valid,1,dog
id_001930,test,NA,NA
id_002034,valid,1,dog
id_002738,train,1,dog
id_003624,valid,1,dog
id_003382,train,1,dog
id_002641,train,1,dog
id_003854,valid,1,dog
id_003768,train,1,dog
id_003970,test,NA,NA
id_002937,train,1,dog
id_003118,train,1,dog
id_001054,valid,0,cat
id_003344,valid,1,dog
id_003022,train,1,dog
id_003416,train,1,dog
id_001266,train,0,cat
id_000209,valid,0,cat
id_002652,train,1,dog
id_000295,test,NA,NA
id_003938,train,1,dog
id_000902,train,0,cat
id_002263,train,1,dog
id_003053,train,1,dog
id_003132,train,1,dog
id_001390,test,NA,NA
id_000694,valid,0,cat
id_002003,train,1,dog
id_002183,train,1,dog
id_002928,train,1,dog
id_002526,train,1,dog
id_002976,train,1,dog
id_002693,train,1,dog
id_003709,valid,1,dog
id_003687,train,1,dog
id_002480,test,NA,NA
id_001666,train,0,cat
id_003152,train,1,dog
id_002440,test,NA,NA
id_003629,valid,1,dog
id_000239,valid,0,cat
id_001670,test,NA,NA
id_000801,train,0,cat
id_001878,train,0,cat
id_002707,train,1,dog
id_001452,train,0,cat
id_000620,test,NA,NA
id_003661,train,1,dog
