obs_id,train_id,class
id_002931,train,1
id_000445,test,NA
id_000403,train,0
id_003311,train,1
id_002623,train,1
id_002198,train,1
id_001464,valid,0
id_000925,test,NA
id_002638,train,1
id_003232,train,1
id_003296,train,1
id_001548,train,0
id_000971,train,0
id_003497,train,1
id_003281,train,1
id_003854,valid,1
id_002950,test,NA
id_001441,train,0
id_003125,test,NA
id_001086,train,0
id_000788,train,0
id_000015,test,NA
id_000567,train,0
id_003471,train,1
id_000383,train,0
id_003905,test,NA
id_000086,train,0
id_001913,train,0
id_003697,train,1
id_001239,valid,0
id_000686,train,0
id_001914,valid,0
id_001875,test,NA
id_001849,valid,0
id_003636,train,1
id_002412,train,1
id_002678,train,1
id_002590,test,NA
id_001450,test,NA
id_001167,train,0
id_003229,valid,1
id_000716,train,0
id_003550,test,NA
id_000202,train,0
id_001631,train,0
id_003418,train,1
id_001576,train,0
id_001567,train,0
id_003021,train,1
id_001286,train,0
id_001336,train,0
id_000104,valid,0
id_002289,valid,1
id_001100,test,NA
id_000880,test,NA
id_003621,train,1
id_000656,train,0
id_002339,valid,1
id_000536,train,0
id_001565,test,NA
id_001550,test,NA
id_001871,train,0
id_003635,test,NA
id_003362,train,1
id_000789,valid,0
id_003084,valid,1
id_003256,train,1
id_003662,train,1
id_000244,valid,0
id_001959,valid,0
id_000955,test,NA
id_001456,train,0
id_002513,train,1
id_002139,valid,1
id_000477,train,0
id_003869,valid,1
id_002908,train,1
id_000751,train,0
id_002286,train,1
id_002704,valid,1
id_000631,train,0
id_002038,train,1
id_003365,test,NA
id_001155,test,NA
id_001646,train,0
id_001018,train,0
id_003023,train,1
id_001930,test,NA
id_000102,train,0
id_001942,train,0
id_000553,train,0
id_001795,test,NA
id_003014,valid,1
id_003196,train,1
id_002620,test,NA
id_002265,test,NA
id_000485,test,NA
id_000377,train,0
id_000236,train,0
id_000781,train,0
id_001436,train,0
id_000369,valid,0
id_000721,train,0
id_002556,train,1
id_000996,train,0
id_003401,train,1
id_002990,test,NA
id_003185,test,NA
id_003429,valid,1
id_003106,train,1
id_003396,train,1
id_000012,train,0
id_002466,train,1
id_003728,train,1
id_001431,train,0
id_001178,train,0
id_002310,test,NA
id_000715,test,NA
id_003730,test,NA
id_002290,test,NA
id_003822,train,1
id_003313,train,1
id_003861,train,1
id_000035,test,NA
id_003133,train,1
id_000304,valid,0
id_003085,test,NA
id_003616,train,1
id_000529,valid,0
id_002550,test,NA
id_003855,test,NA
id_001905,test,NA
id_000961,train,0
id_003258,train,1
id_001164,valid,0
id_002880,test,NA
id_003573,train,1
id_003321,train,1
id_003003,train,1
id_002821,train,1
id_000599,valid,0
id_002202,train,1
id_002749,valid,1
id_000288,train,0
id_003640,test,NA
id_003928,train,1
id_003811,train,1
id_001851,train,0
id_003834,valid,1
id_003919,valid,1
id_001429,valid,0
id_001713,train,0
id_002434,valid,1
id_001191,train,0
id_002961,train,1
id_001589,valid,0
id_000210,test,NA
id_002183,train,1
id_002149,valid,1
id_003625,test,NA
id_002686,train,1
id_000298,train,0
id_000224,valid,0
id_003808,train,1
id_002766,train,1
id_002314,valid,1
id_003065,test,NA
id_002046,train,1
id_003135,test,NA
id_001807,train,0
id_002612,train,1
id_002329,valid,1
id_000468,train,0
id_001132,train,0
id_000926,train,0
id_001262,train,0
id_002172,train,1
id_000376,train,0
id_002794,valid,1
id_002654,valid,1
id_002533,train,1
id_002281,train,1
id_002017,train,1
id_003562,train,1
id_000052,train,0
id_001073,train,0
id_001753,train,0
id_002042,train,1
id_002945,test,NA
id_002029,valid,1
id_003914,valid,1
id_000776,train,0
id_002622,train,1
id_003667,train,1
id_001521,train,0
id_001371,train,0
id_002197,train,1
id_001637,train,0
id_002340,test,NA
id_003420,test,NA
id_001838,train,0
id_003544,valid,1
id_003690,test,NA
id_000713,train,0
id_002718,train,1
