obs_id,train_id,class,class_name
id_000001,test,NA,NA
id_000008,valid,5,r
id_000009,train,4,q
id_000013,train,5,r
id_000023,valid,4,q
id_000025,valid,0,g
id_000026,train,2,k
id_000030,train,1,i
id_000036,train,5,r
id_000040,test,NA,NA
id_000042,valid,4,q
id_000053,test,NA,NA
id_000054,train,0,g
id_000057,train,1,i
id_000059,test,NA,NA
id_000060,train,2,k
id_000063,valid,3,l
id_000064,train,1,i
id_000065,valid,4,q
id_000066,test,NA,NA
id_000071,train,1,i
id_000074,valid,1,i
id_000078,train,2,k
id_000081,valid,3,l
id_000083,valid,2,k
id_000084,train,1,i
id_000089,test,NA,NA
id_000091,train,0,g
id_000093,valid,4,q
id_000097,valid,3,l
id_000098,valid,2,k
id_000101,train,5,r
id_000105,valid,4,q
id_000114,test,NA,NA
id_000119,test,NA,NA
id_000120,train,4,q
id_000126,train,3,l
id_000134,test,NA,NA
id_000141,train,5,r
id_000143,train,0,g
id_000144,valid,0,g
id_000146,test,NA,NA
id_000153,train,1,i
id_000154,train,3,l
id_000163,train,3,l
id_000166,train,2,k
id_000168,train,1,i
id_000170,train,1,i
id_000171,train,4,q
id_000174,train,2,k
id_000177,train,4,q
id_000192,train,2,k
id_000199,valid,1,i
id_000201,test,NA,NA
id_000204,valid,0,g
id_000209,train,0,g
id_000216,train,1,i
id_000217,test,NA,NA
id_000220,valid,1,i
id_000221,test,NA,NA
id_000223,test,NA,NA
id_000227,train,0,g
id_000229,train,2,k
id_000234,valid,4,q
id_000235,valid,2,k
id_000236,test,NA,NA
id_000237,train,5,r
id_000239,valid,3,l
id_000240,test,NA,NA
id_000245,train,2,k
id_000247,valid,3,l
id_000249,train,3,l
id_000257,train,0,g
id_000262,train,1,i
id_000269,train,4,q
id_000277,test,NA,NA
id_000287,valid,1,i
id_000294,test,NA,NA
id_000296,test,NA,NA
id_000301,train,5,r
id_000304,train,3,l
id_000310,train,2,k
id_000315,train,0,g
id_000320,train,4,q
id_000321,test,NA,NA
id_000322,valid,1,i
id_000323,test,NA,NA
id_000329,test,NA,NA
id_000333,valid,2,k
id_000337,valid,3,l
id_000345,train,5,r
id_000346,valid,0,g
id_000354,valid,2,k
id_000362,train,1,i
id_000371,test,NA,NA
id_000376,train,2,k
id_000377,train,1,i
id_000381,train,3,l
id_000383,valid,5,r
id_000385,train,0,g
id_000386,train,0,g
id_000397,train,5,r
id_000398,train,1,i
id_000401,train,5,r
id_000421,valid,3,l
id_000423,test,NA,NA
id_000425,train,1,i
id_000426,valid,2,k
id_000445,train,0,g
id_000446,valid,2,k
id_000452,train,3,l
id_000456,train,5,r
id_000464,train,3,l
id_000465,valid,0,g
id_000470,train,5,r
id_000471,test,NA,NA
id_000474,train,2,k
id_000476,train,0,g
id_000478,train,3,l
id_000480,train,5,r
id_000495,valid,2,k
id_000496,test,NA,NA
id_000497,test,NA,NA
id_000502,test,NA,NA
id_000503,test,NA,NA
id_000504,test,NA,NA
id_000507,valid,2,k
id_000517,test,NA,NA
id_000519,valid,1,i
id_000520,test,NA,NA
id_000525,train,2,k
id_000533,train,1,i
id_000538,train,1,i
id_000540,valid,4,q
id_000541,train,2,k
id_000543,test,NA,NA
id_000544,train,1,i
id_000561,train,4,q
id_000567,train,0,g
id_000568,test,NA,NA
id_000572,train,2,k
id_000573,valid,0,g
id_000577,valid,5,r
id_000578,train,2,k
id_000583,train,4,q
id_000586,train,2,k
id_000592,train,0,g
id_000594,test,NA,NA
id_000596,train,4,q
id_000600,valid,3,l
id_000608,train,2,k
id_000612,train,1,i
id_000616,train,2,k
id_000618,test,NA,NA
id_000619,test,NA,NA
id_000625,train,1,i
id_000626,valid,4,q
id_000627,valid,0,g
id_000628,valid,4,q
id_000633,train,1,i
id_000635,test,NA,NA
id_000636,train,1,i
id_000639,train,5,r
id_000640,train,5,r
id_000649,train,5,r
id_000651,test,NA,NA
id_000654,test,NA,NA
id_000664,test,NA,NA
id_000670,valid,5,r
id_000676,train,2,k
id_000688,train,3,l
id_000695,test,NA,NA
id_000704,train,5,r
id_000705,test,NA,NA
id_000707,train,2,k
id_000715,train,3,l
id_000716,train,3,l
id_000719,train,2,k
id_000725,valid,0,g
id_000727,test,NA,NA
id_000729,test,NA,NA
id_000750,valid,5,r
id_000755,train,3,l
id_000757,valid,3,l
id_000760,test,NA,NA
id_000775,test,NA,NA
id_000776,train,3,l
id_000787,train,4,q
id_000789,test,NA,NA
id_000794,valid,1,i
id_000796,train,4,q
id_000797,train,0,g
id_000800,train,1,i
id_000806,train,5,r
id_000807,test,NA,NA
id_000809,valid,1,i
id_000819,valid,0,g
id_000835,valid,2,k
id_000843,train,0,g
id_000846,test,NA,NA
id_000848,valid,4,q
id_000857,train,0,g
id_000859,train,0,g
id_000860,test,NA,NA
id_000862,train,0,g
id_000863,train,5,r
id_000866,train,2,k
id_000868,test,NA,NA
id_000871,train,2,k
id_000877,test,NA,NA
id_000878,test,NA,NA
id_000881,valid,1,i
id_000888,train,5,r
id_000890,train,1,i
id_000895,train,1,i
id_000913,test,NA,NA
id_000916,train,3,l
id_000921,train,1,i
id_000930,test,NA,NA
id_000933,test,NA,NA
id_000938,test,NA,NA
id_000940,train,1,i
id_000944,train,2,k
id_000945,train,3,l
id_000946,valid,2,k
id_000947,train,5,r
id_000953,train,4,q
id_000956,train,0,g
id_000962,train,3,l
id_000964,test,NA,NA
id_000966,test,NA,NA
id_000973,train,3,l
id_000979,test,NA,NA
id_000984,test,NA,NA
id_000988,valid,1,i
id_000992,test,NA,NA
id_000993,test,NA,NA
id_000997,train,4,q
id_001000,train,0,g
id_001002,train,5,r
id_001010,valid,4,q
id_001015,train,2,k
id_001020,valid,0,g
id_001029,valid,1,i
id_001033,train,1,i
id_001035,train,4,q
id_001046,train,2,k
id_001053,valid,3,l
id_001058,valid,2,k
id_001067,valid,1,i
id_001070,test,NA,NA
id_001074,train,2,k
id_001081,test,NA,NA
id_001083,train,4,q
id_001085,valid,5,r
id_001090,valid,2,k
id_001093,train,0,g
id_001099,valid,4,q
id_001101,train,5,r
id_001102,valid,0,g
id_001103,train,2,k
id_001106,test,NA,NA
id_001107,valid,1,i
id_001108,train,2,k
id_001112,test,NA,NA
id_001114,train,5,r
id_001128,train,3,l
id_001130,train,1,i
id_001133,valid,2,k
id_001134,valid,2,k
id_001135,train,3,l
id_001137,train,0,g
id_001138,train,4,q
id_001140,train,2,k
id_001147,train,1,i
id_001156,test,NA,NA
id_001164,test,NA,NA
id_001169,train,5,r
id_001173,train,3,l
id_001174,train,3,l
id_001175,train,5,r
id_001177,valid,4,q
id_001182,train,1,i
id_001183,test,NA,NA
id_001194,train,4,q
id_001195,train,1,i
id_001204,valid,5,r
id_001209,valid,3,l
id_001210,train,5,r
id_001215,valid,2,k
id_001223,valid,4,q
id_001231,valid,1,i
id_001232,train,1,i
id_001237,train,2,k
id_001239,train,2,k
id_001241,train,2,k
id_001266,train,2,k
id_001271,train,0,g
id_001275,test,NA,NA
id_001276,train,5,r
id_001286,test,NA,NA
id_001287,train,0,g
id_001288,train,5,r
id_001299,valid,2,k
id_001310,train,3,l
id_001312,train,3,l
id_001314,test,NA,NA
id_001315,train,5,r
id_001320,train,3,l
id_001321,test,NA,NA
id_001324,test,NA,NA
id_001326,test,NA,NA
id_001348,train,0,g
id_001350,train,4,q
id_001354,test,NA,NA
id_001366,test,NA,NA
id_001371,train,1,i
id_001373,test,NA,NA
id_001382,valid,4,q
id_001384,train,0,g
id_001386,test,NA,NA
id_001389,valid,5,r
id_001392,train,0,g
id_001401,test,NA,NA
id_001405,train,3,l
id_001412,train,2,k
id_001415,valid,1,i
id_001422,train,5,r
id_001424,train,0,g
id_001425,valid,2,k
id_001440,test,NA,NA
id_001441,valid,5,r
id_001442,train,3,l
id_001444,train,5,r
id_001446,valid,0,g
id_001448,valid,1,i
id_001452,test,NA,NA
id_001454,train,5,r
id_001457,test,NA,NA
id_001461,valid,1,i
id_001462,test,NA,NA
id_001464,valid,1,i
id_001469,valid,5,r
id_001471,test,NA,NA
id_001475,valid,2,k
id_001476,valid,3,l
id_001478,valid,2,k
id_001479,valid,5,r
id_001484,train,2,k
id_001486,test,NA,NA
id_001494,train,4,q
id_001496,test,NA,NA
id_001500,train,3,l
id_001508,valid,5,r
id_001512,valid,4,q
id_001518,train,2,k
id_001519,train,0,g
id_001520,train,2,k
id_001527,train,3,l
id_001546,train,2,k
id_001550,valid,4,q
id_001554,train,0,g
id_001557,test,NA,NA
id_001567,test,NA,NA
id_001573,train,4,q
id_001575,valid,3,l
id_001581,test,NA,NA
id_001588,train,3,l
id_001589,test,NA,NA
id_001598,train,0,g
id_001611,test,NA,NA
id_001613,test,NA,NA
id_001614,train,5,r
id_001618,train,1,i
id_001621,train,4,q
id_001629,valid,2,k
id_001632,train,1,i
id_001639,test,NA,NA
id_001641,valid,3,l
id_001646,valid,1,i
id_001648,train,0,g
id_001654,valid,1,i
id_001660,train,0,g
id_001664,train,2,k
id_001670,train,0,g
id_001682,train,4,q
id_001687,train,2,k
id_001689,test,NA,NA
id_001699,valid,4,q
id_001701,train,5,r
id_001702,train,5,r
id_001708,valid,4,q
id_001714,valid,0,g
id_001722,test,NA,NA
id_001726,train,3,l
id_001729,test,NA,NA
id_001734,test,NA,NA
id_001739,valid,3,l
id_001743,test,NA,NA
id_001744,train,2,k
id_001745,train,0,g
id_001747,train,1,i
id_001750,valid,2,k
id_001757,valid,4,q
id_001758,train,3,l
id_001768,train,4,q
id_001770,train,2,k
id_001783,valid,2,k
id_001784,valid,1,i
id_001787,train,0,g
id_001792,train,4,q
id_001823,test,NA,NA
id_001828,test,NA,NA
id_001831,test,NA,NA
id_001833,valid,2,k
id_001836,test,NA,NA
id_001845,test,NA,NA
id_001849,test,NA,NA
id_001855,valid,2,k
id_001859,test,NA,NA
id_001860,train,5,r
id_001864,test,NA,NA
id_001865,train,3,l
id_001866,train,0,g
id_001868,test,NA,NA
id_001876,valid,0,g
id_001878,valid,0,g
id_001884,valid,1,i
id_001886,train,0,g
id_001899,train,5,r
id_001900,train,3,l
id_001903,test,NA,NA
id_001905,valid,5,r
id_001909,valid,3,l
id_001910,train,1,i
id_001912,train,2,k
id_001915,valid,4,q
id_001917,valid,1,i
id_001924,train,4,q
id_001932,valid,2,k
id_001941,test,NA,NA
id_001947,valid,0,g
id_001953,train,4,q
id_001955,valid,5,r
id_001965,valid,1,i
id_001966,train,5,r
id_001968,train,0,g
id_001969,train,5,r
id_001976,train,3,l
id_001981,test,NA,NA
id_001983,valid,0,g
id_001985,valid,5,r
id_001986,valid,2,k
id_001995,test,NA,NA
id_001998,train,0,g
id_001999,train,0,g
id_002004,valid,3,l
id_002016,train,2,k
id_002020,test,NA,NA
id_002023,train,2,k
id_002029,valid,4,q
id_002030,train,2,k
id_002031,test,NA,NA
id_002038,valid,4,q
id_002054,test,NA,NA
id_002059,train,5,r
id_002060,test,NA,NA
id_002063,valid,1,i
id_002067,train,2,k
id_002071,train,5,r
id_002073,test,NA,NA
id_002081,test,NA,NA
id_002092,train,4,q
id_002097,test,NA,NA
id_002102,train,4,q
id_002110,test,NA,NA
id_002111,train,2,k
id_002112,train,2,k
id_002115,train,0,g
id_002119,train,1,i
id_002126,train,4,q
id_002133,valid,2,k
id_002140,test,NA,NA
id_002144,train,1,i
id_002145,test,NA,NA
id_002156,test,NA,NA
id_002158,train,3,l
id_002163,test,NA,NA
id_002165,train,4,q
id_002175,train,1,i
id_002180,test,NA,NA
id_002189,train,3,l
id_002198,train,5,r
id_002199,train,4,q
id_002206,train,3,l
id_002207,test,NA,NA
id_002211,test,NA,NA
id_002216,test,NA,NA
id_002220,test,NA,NA
id_002225,test,NA,NA
id_002228,test,NA,NA
id_002235,test,NA,NA
id_002236,valid,4,q
id_002237,train,3,l
id_002241,train,3,l
id_002243,valid,1,i
id_002244,valid,1,i
id_002245,valid,0,g
id_002253,train,2,k
id_002257,train,0,g
id_002275,train,1,i
id_002279,train,0,g
id_002283,valid,4,q
id_002288,valid,3,l
id_002295,valid,1,i
id_002298,train,3,l
id_002303,train,3,l
id_002304,test,NA,NA
id_002309,train,2,k
id_002312,test,NA,NA
id_002315,test,NA,NA
id_002318,valid,3,l
id_002319,train,0,g
id_002320,valid,4,q
id_002321,valid,0,g
id_002327,train,2,k
id_002328,train,4,q
id_002335,train,1,i
id_002338,train,1,i
id_002339,valid,1,i
id_002340,test,NA,NA
id_002342,train,2,k
id_002345,test,NA,NA
id_002359,valid,3,l
id_002368,valid,4,q
id_002373,train,4,q
id_002375,train,2,k
id_002380,train,2,k
id_002382,test,NA,NA
id_002383,train,1,i
id_002384,valid,5,r
id_002394,train,1,i
id_002395,test,NA,NA
id_002398,test,NA,NA
id_002399,train,0,g
id_002413,train,2,k
id_002414,train,4,q
id_002415,valid,2,k
id_002416,valid,1,i
id_002418,train,5,r
id_002424,train,5,r
id_002430,train,0,g
id_002432,train,5,r
id_002444,valid,2,k
id_002449,train,5,r
id_002451,test,NA,NA
id_002453,test,NA,NA
id_002456,valid,1,i
id_002460,train,0,g
id_002464,train,2,k
id_002465,train,4,q
id_002466,train,0,g
id_002472,train,1,i
id_002475,test,NA,NA
id_002480,valid,1,i
id_002486,train,5,r
id_002495,train,3,l
id_002497,train,2,k
id_002500,train,1,i
id_002504,valid,2,k
id_002521,valid,1,i
id_002524,test,NA,NA
id_002526,test,NA,NA
id_002527,train,0,g
id_002529,train,1,i
id_002540,train,0,g
id_002544,valid,3,l
id_002546,test,NA,NA
id_002548,train,2,k
id_002558,test,NA,NA
id_002559,test,NA,NA
id_002560,train,0,g
id_002562,test,NA,NA
id_002570,valid,2,k
id_002571,train,3,l
id_002572,train,2,k
id_002574,train,0,g
id_002579,test,NA,NA
id_002582,train,5,r
id_002584,test,NA,NA
id_002585,train,5,r
id_002586,train,5,r
id_002588,valid,5,r
id_002590,valid,0,g
id_002593,valid,0,g
id_002594,test,NA,NA
id_002595,valid,5,r
id_002597,valid,1,i
id_002601,valid,4,q
id_002606,test,NA,NA
id_002614,train,3,l
id_002618,train,0,g
id_002628,train,3,l
id_002633,train,3,l
id_002634,train,0,g
id_002638,train,0,g
id_002644,train,3,l
id_002649,train,4,q
id_002651,test,NA,NA
