obs_id,train_id,class,class_name
id_000001,train,0,no people
id_000002,valid,0,no people
id_000003,train,1,no people
id_000004,valid,1,no people
id_000005,test,NA,NA
id_000006,test,NA,NA
id_000007,test,NA,NA
id_000008,valid,1,people
id_000009,train,1,people
id_000010,train,0,no people
id_000011,train,0,people
id_000012,train,0,no people
id_000013,valid,1,no people
id_000014,valid,0,people
id_000015,train,1,people
id_000016,valid,0,no people
id_000017,test,NA,NA
id_000018,test,NA,NA
id_000019,valid,0,no people
id_000020,train,1,people
id_000021,train,1,people
id_000022,train,0,no people
id_000023,train,1,no people
id_000024,train,0,no people
id_000025,train,0,no people
id_000026,train,0,no people
id_000027,train,0,people
id_000028,train,1,no people
id_000029,train,1,people
id_000030,test,NA,NA
id_000031,test,NA,NA
id_000032,test,NA,NA
id_000033,train,0,people
id_000034,train,0,no people
id_000035,train,1,people
id_000036,valid,1,no people
id_000037,train,1,no people
id_000038,test,NA,NA
id_000039,test,NA,NA
id_000040,test,NA,NA
id_000041,test,NA,NA
id_000042,valid,1,people
id_000043,train,1,no people
id_000044,train,1,people
id_000045,train,0,people
id_000046,test,NA,NA
id_000047,train,0,people
id_000048,train,0,people
id_000049,test,NA,NA
id_000050,train,1,no people
id_000051,test,NA,NA
id_000052,valid,1,people
id_000053,train,0,no people
id_000054,train,0,no people
id_000055,valid,0,no people
id_000056,valid,0,people
id_000057,test,NA,NA
id_000058,train,0,no people
id_000059,valid,1,no people
id_000060,train,0,people
id_000061,train,1,people
id_000062,train,0,no people
id_000063,valid,0,people
id_000064,train,0,people
id_000065,train,1,no people
id_000066,valid,0,people
id_000067,train,0,people
id_000068,train,1,no people
id_000069,valid,0,people
id_000070,train,1,people
id_000071,test,NA,NA
id_000072,train,1,no people
id_000073,train,0,no people
id_000074,test,NA,NA
id_000075,valid,0,no people
id_000076,train,1,no people
id_000077,train,1,no people
id_000078,train,0,people
id_000079,train,1,no people
id_000080,valid,1,no people
id_000081,test,NA,NA
id_000082,valid,1,no people
id_000083,test,NA,NA
id_000084,valid,0,no people
id_000085,train,1,no people
id_000086,train,0,no people
id_000087,train,1,no people
id_000088,test,NA,NA
id_000089,train,0,people
id_000090,train,0,people
id_000091,train,0,people
id_000092,train,0,no people
id_000093,test,NA,NA
id_000094,valid,1,people
id_000095,test,NA,NA
id_000096,train,1,people
id_000097,valid,0,no people
id_000098,train,1,people
id_000099,test,NA,NA
id_000100,train,1,people
id_000101,train,1,people
id_000102,valid,0,no people
id_000103,train,0,people
id_000104,test,NA,NA
id_000105,train,1,no people
id_000106,train,0,people
id_000107,valid,0,people
id_000108,train,0,people
id_000109,valid,1,people
id_000110,test,NA,NA
id_000111,train,1,people
id_000112,train,1,people
id_000113,train,1,no people
id_000114,train,0,no people
id_000115,train,0,people
id_000116,test,NA,NA
id_000117,train,1,people
id_000118,train,0,people
id_000119,train,0,people
id_000120,test,NA,NA
id_000121,train,1,no people
id_000122,test,NA,NA
id_000123,test,NA,NA
id_000124,train,0,no people
id_000125,test,NA,NA
id_000126,test,NA,NA
id_000127,test,NA,NA
id_000128,train,0,no people
id_000129,test,NA,NA
id_000130,train,1,people
id_000131,valid,0,people
id_000132,train,0,no people
id_000133,valid,0,no people
id_000134,valid,1,no people
id_000135,test,NA,NA
id_000136,test,NA,NA
id_000137,valid,0,no people
id_000138,train,0,no people
id_000139,test,NA,NA
id_000140,train,1,no people
id_000141,train,1,no people
id_000142,test,NA,NA
id_000143,train,0,no people
id_000144,valid,0,people
id_000145,train,1,no people
id_000146,train,0,no people
id_000147,test,NA,NA
id_000148,train,1,no people
id_000149,train,0,people
id_000150,train,1,people
id_000151,train,1,people
id_000152,train,0,no people
id_000153,test,NA,NA
id_000154,train,0,no people
id_000155,train,0,no people
id_000156,train,0,no people
id_000157,valid,0,no people
id_000158,train,0,no people
id_000159,train,0,no people
id_000160,test,NA,NA
id_000161,train,0,people
id_000162,test,NA,NA
id_000163,train,0,no people
id_000164,test,NA,NA
id_000165,test,NA,NA
id_000166,train,0,people
id_000167,valid,0,no people
id_000168,valid,0,people
id_000169,train,1,no people
id_000170,train,0,people
id_000171,train,1,people
id_000172,test,NA,NA
id_000173,train,1,people
id_000174,train,0,people
id_000175,train,0,no people
id_000176,test,NA,NA
id_000177,train,1,people
id_000178,test,NA,NA
id_000179,train,1,no people
id_000180,train,1,people
id_000181,valid,0,people
id_000182,test,NA,NA
id_000183,valid,1,people
id_000184,train,0,people
id_000185,train,1,no people
id_000186,train,0,people
id_000187,train,1,people
id_000188,train,1,people
id_000189,valid,1,no people
id_000190,train,0,no people
id_000191,train,1,no people
id_000192,train,1,no people
id_000193,valid,0,people
id_000194,test,NA,NA
id_000195,valid,0,no people
id_000196,valid,1,people
id_000197,train,1,no people
id_000198,train,1,people
id_000199,train,0,people
id_000200,valid,1,no people
id_000201,valid,0,people
id_000202,test,NA,NA
id_000203,test,NA,NA
id_000204,test,NA,NA
id_000205,train,0,no people
id_000206,train,1,people
id_000207,train,0,people
id_000208,train,0,no people
id_000209,test,NA,NA
id_000210,valid,1,no people
id_000211,train,1,no people
id_000212,train,0,people
id_000213,valid,1,no people
id_000214,valid,1,no people
id_000215,valid,1,no people
id_000216,train,0,no people
id_000217,train,1,people
id_000218,valid,1,people
id_000219,train,1,people
id_000220,valid,0,no people
id_000221,test,NA,NA
id_000222,test,NA,NA
id_000223,train,0,people
id_000224,train,0,no people
id_000225,valid,1,people
id_000226,test,NA,NA
id_000227,train,1,people
id_000228,test,NA,NA
id_000229,train,0,people
id_000230,train,1,no people
id_000231,valid,0,people
id_000232,train,0,no people
id_000233,test,NA,NA
id_000234,train,0,people
id_000235,train,1,no people
id_000236,test,NA,NA
id_000237,valid,1,people
id_000238,test,NA,NA
id_000239,train,0,no people
id_000240,train,1,people
id_000241,valid,0,people
id_000242,valid,0,no people
id_000243,test,NA,NA
id_000244,test,NA,NA
id_000245,test,NA,NA
id_000246,train,0,no people
id_000247,train,0,no people
id_000248,test,NA,NA
id_000249,train,1,no people
id_000250,test,NA,NA
id_000251,test,NA,NA
id_000252,test,NA,NA
id_000253,test,NA,NA
id_000254,valid,0,no people
id_000255,valid,0,no people
id_000256,train,0,people
id_000257,valid,0,people
id_000258,test,NA,NA
id_000259,train,0,no people
id_000260,train,1,no people
id_000261,train,0,no people
id_000262,test,NA,NA
id_000263,train,1,no people
id_000264,valid,1,people
id_000265,train,1,people
id_000266,test,NA,NA
id_000267,train,0,no people
id_000268,test,NA,NA
id_000269,test,NA,NA
id_000270,train,1,people
