obs_id,train_id,class,class_name
id_000001,train,0,inside
id_000002,valid,0,inside
id_000003,train,1,outside
id_000004,valid,1,outside
id_000005,test,NA,NA
id_000006,test,NA,NA
id_000007,test,NA,NA
id_000008,valid,1,outside
id_000009,train,1,outside
id_000010,train,0,inside
id_000011,train,0,inside
id_000012,train,0,inside
id_000013,valid,1,outside
id_000014,valid,0,inside
id_000015,train,1,outside
id_000016,valid,0,inside
id_000017,test,NA,NA
id_000018,test,NA,NA
id_000019,valid,0,inside
id_000020,train,1,outside
id_000021,train,1,outside
id_000022,train,0,inside
id_000023,train,1,outside
id_000024,train,0,inside
id_000025,train,0,inside
id_000026,train,0,inside
id_000027,train,0,inside
id_000028,train,1,outside
id_000029,train,1,outside
id_000030,test,NA,NA
id_000031,test,NA,NA
id_000032,test,NA,NA
id_000033,train,0,inside
id_000034,train,0,inside
id_000035,train,1,outside
id_000036,valid,1,outside
id_000037,train,1,outside
id_000038,test,NA,NA
id_000039,test,NA,NA
id_000040,test,NA,NA
id_000041,test,NA,NA
id_000042,valid,1,outside
id_000043,train,1,outside
id_000044,train,1,outside
id_000045,train,0,inside
id_000046,test,NA,NA
id_000047,train,0,inside
id_000048,train,0,inside
id_000049,test,NA,NA
id_000050,train,1,outside
id_000051,test,NA,NA
id_000052,valid,1,outside
id_000053,train,0,inside
id_000054,train,0,inside
id_000055,valid,0,inside
id_000056,valid,0,inside
id_000057,test,NA,NA
id_000058,train,0,inside
id_000059,valid,1,outside
id_000060,train,0,inside
id_000061,train,1,outside
id_000062,train,0,inside
id_000063,valid,0,inside
id_000064,train,0,inside
id_000065,train,1,outside
id_000066,valid,0,inside
id_000067,train,0,inside
id_000068,train,1,outside
id_000069,valid,0,inside
id_000070,train,1,outside
id_000071,test,NA,NA
id_000072,train,1,outside
id_000073,train,0,inside
id_000074,test,NA,NA
id_000075,valid,0,inside
id_000076,train,1,outside
id_000077,train,1,outside
id_000078,train,0,inside
id_000079,train,1,outside
id_000080,valid,1,outside
id_000081,test,NA,NA
id_000082,valid,1,outside
id_000083,test,NA,NA
id_000084,valid,0,inside
id_000085,train,1,outside
id_000086,train,0,inside
id_000087,train,1,outside
id_000088,test,NA,NA
id_000089,train,0,inside
id_000090,train,0,inside
id_000091,train,0,inside
id_000092,train,0,inside
id_000093,test,NA,NA
id_000094,valid,1,outside
id_000095,test,NA,NA
id_000096,train,1,outside
id_000097,valid,0,inside
id_000098,train,1,outside
id_000099,test,NA,NA
id_000100,train,1,outside
id_000101,train,1,outside
id_000102,valid,0,inside
id_000103,train,0,inside
id_000104,test,NA,NA
id_000105,train,1,outside
id_000106,train,0,inside
id_000107,valid,0,inside
id_000108,train,0,inside
id_000109,valid,1,outside
id_000110,test,NA,NA
id_000111,train,1,outside
id_000112,train,1,outside
id_000113,train,1,outside
id_000114,train,0,inside
id_000115,train,0,inside
id_000116,test,NA,NA
id_000117,train,1,outside
id_000118,train,0,inside
id_000119,train,0,inside
id_000120,test,NA,NA
id_000121,train,1,outside
id_000122,test,NA,NA
id_000123,test,NA,NA
id_000124,train,0,inside
id_000125,test,NA,NA
id_000126,test,NA,NA
id_000127,test,NA,NA
id_000128,train,0,inside
id_000129,test,NA,NA
id_000130,train,1,outside
id_000131,valid,0,inside
id_000132,train,0,inside
id_000133,valid,0,inside
id_000134,valid,1,outside
id_000135,test,NA,NA
id_000136,test,NA,NA
id_000137,valid,0,inside
id_000138,train,0,inside
id_000139,test,NA,NA
id_000140,train,1,outside
id_000141,train,1,outside
id_000142,test,NA,NA
id_000143,train,0,inside
id_000144,valid,0,inside
id_000145,train,1,outside
id_000146,train,0,inside
id_000147,test,NA,NA
id_000148,train,1,outside
id_000149,train,0,inside
id_000150,train,1,outside
id_000151,train,1,outside
id_000152,train,0,inside
id_000153,test,NA,NA
id_000154,train,0,inside
id_000155,train,0,inside
id_000156,train,0,inside
id_000157,valid,0,inside
id_000158,train,0,inside
id_000159,train,0,inside
id_000160,test,NA,NA
id_000161,train,0,inside
id_000162,test,NA,NA
id_000163,train,0,inside
id_000164,test,NA,NA
id_000165,test,NA,NA
id_000166,train,0,inside
id_000167,valid,0,inside
id_000168,valid,0,inside
id_000169,train,1,outside
id_000170,train,0,inside
id_000171,train,1,outside
id_000172,test,NA,NA
id_000173,train,1,outside
id_000174,train,0,inside
id_000175,train,0,inside
id_000176,test,NA,NA
id_000177,train,1,outside
id_000178,test,NA,NA
id_000179,train,1,outside
id_000180,train,1,outside
id_000181,valid,0,inside
id_000182,test,NA,NA
id_000183,valid,1,outside
id_000184,train,0,inside
id_000185,train,1,outside
id_000186,train,0,inside
id_000187,train,1,outside
id_000188,train,1,outside
id_000189,valid,1,outside
id_000190,train,0,inside
id_000191,train,1,outside
id_000192,train,1,outside
id_000193,valid,0,inside
id_000194,test,NA,NA
id_000195,valid,0,inside
id_000196,valid,1,outside
id_000197,train,1,outside
id_000198,train,1,outside
id_000199,train,0,inside
id_000200,valid,1,outside
