obs_id,train_id,class,class_name
id_000001,train,2,pullover
id_000002,train,3,dress
id_000003,valid,5,sandal
id_000004,test,NA,NA
id_000005,train,2,pullover
id_000006,valid,8,bag
id_000007,train,9,boot
id_000008,test,NA,NA
id_000009,train,6,shirt
id_000010,train,0,tshirt
id_000011,train,2,pullover
id_000012,train,1,trouser
id_000013,test,NA,NA
id_000014,valid,3,dress
id_000015,valid,7,sneaker
id_000016,test,NA,NA
id_000017,train,7,sneaker
id_000018,train,9,boot
id_000019,test,NA,NA
id_000020,valid,7,sneaker
id_000021,valid,9,boot
id_000022,train,2,pullover
id_000023,valid,6,shirt
id_000024,train,1,trouser
id_000025,test,NA,NA
id_000026,valid,3,dress
id_000027,train,0,tshirt
id_000028,train,3,dress
id_000029,valid,8,bag
id_000030,valid,3,dress
id_000031,test,NA,NA
id_000032,test,NA,NA
id_000033,train,4,coat
id_000034,train,1,trouser
id_000035,train,8,bag
id_000036,train,6,shirt
id_000037,train,7,sneaker
id_000038,train,1,trouser
id_000039,train,7,sneaker
id_000040,train,4,coat
id_000041,train,8,bag
id_000042,test,NA,NA
id_000043,train,7,sneaker
id_000044,train,5,sandal
id_000045,train,5,sandal
id_000046,test,NA,NA
id_000047,train,0,tshirt
id_000048,test,NA,NA
id_000049,valid,7,sneaker
id_000050,train,6,shirt
id_000051,train,4,coat
id_000052,train,8,bag
id_000053,train,4,coat
id_000054,valid,2,pullover
id_000055,test,NA,NA
id_000056,train,0,tshirt
id_000057,train,3,dress
id_000058,valid,5,sandal
id_000059,train,6,shirt
id_000060,valid,4,coat
id_000061,valid,9,boot
id_000062,valid,2,pullover
id_000063,valid,4,coat
id_000064,valid,3,dress
id_000065,test,NA,NA
id_000066,train,2,pullover
id_000067,valid,4,coat
id_000068,valid,7,sneaker
id_000069,test,NA,NA
id_000070,train,8,bag
id_000071,test,NA,NA
id_000072,train,8,bag
id_000073,valid,3,dress
id_000074,test,NA,NA
id_000075,train,4,coat
id_000076,valid,8,bag
id_000077,valid,8,bag
id_000078,train,3,dress
id_000079,test,NA,NA
id_000080,test,NA,NA
id_000081,test,NA,NA
id_000082,valid,7,sneaker
id_000083,valid,3,dress
id_000084,test,NA,NA
id_000085,train,7,sneaker
id_000086,test,NA,NA
id_000087,train,7,sneaker
id_000088,test,NA,NA
id_000089,valid,2,pullover
id_000090,valid,1,trouser
id_000091,train,2,pullover
id_000092,train,0,tshirt
id_000093,train,6,shirt
id_000094,train,8,bag
id_000095,valid,7,sneaker
id_000096,test,NA,NA
id_000097,train,4,coat
id_000098,valid,4,coat
id_000099,train,8,bag
id_000100,train,6,shirt
id_000101,train,6,shirt
id_000102,train,3,dress
id_000103,valid,2,pullover
id_000104,train,9,boot
id_000105,valid,6,shirt
id_000106,valid,2,pullover
id_000107,valid,1,trouser
id_000108,train,4,coat
id_000109,train,9,boot
id_000110,train,5,sandal
id_000111,train,9,boot
id_000112,train,7,sneaker
id_000113,valid,3,dress
id_000114,valid,4,coat
id_000115,train,1,trouser
id_000116,train,0,tshirt
id_000117,valid,7,sneaker
id_000118,valid,1,trouser
id_000119,test,NA,NA
id_000120,valid,6,shirt
id_000121,train,9,boot
id_000122,test,NA,NA
id_000123,train,4,coat
id_000124,test,NA,NA
id_000125,test,NA,NA
id_000126,test,NA,NA
id_000127,train,5,sandal
id_000128,train,2,pullover
id_000129,train,2,pullover
id_000130,valid,5,sandal
id_000131,valid,5,sandal
id_000132,train,0,tshirt
id_000133,test,NA,NA
id_000134,valid,6,shirt
id_000135,valid,9,boot
id_000136,train,5,sandal
id_000137,valid,5,sandal
id_000138,train,5,sandal
id_000139,train,9,boot
id_000140,train,5,sandal
id_000141,test,NA,NA
id_000142,test,NA,NA
id_000143,valid,2,pullover
id_000144,valid,2,pullover
id_000145,valid,7,sneaker
id_000146,valid,4,coat
id_000147,train,1,trouser
id_000148,test,NA,NA
id_000149,train,1,trouser
id_000150,train,8,bag
id_000151,train,6,shirt
id_000152,train,5,sandal
id_000153,train,3,dress
id_000154,train,4,coat
id_000155,train,4,coat
id_000156,train,1,trouser
id_000157,test,NA,NA
id_000158,train,0,tshirt
id_000159,test,NA,NA
id_000160,test,NA,NA
id_000161,train,2,pullover
id_000162,train,8,bag
id_000163,train,4,coat
id_000164,test,NA,NA
id_000165,valid,8,bag
id_000166,valid,4,coat
id_000167,train,0,tshirt
id_000168,train,3,dress
id_000169,test,NA,NA
id_000170,train,3,dress
id_000171,train,6,shirt
id_000172,test,NA,NA
id_000173,train,8,bag
id_000174,test,NA,NA
id_000175,train,3,dress
id_000176,train,8,bag
id_000177,train,6,shirt
id_000178,train,7,sneaker
id_000179,test,NA,NA
id_000180,valid,9,boot
id_000181,train,2,pullover
id_000182,train,1,trouser
id_000183,valid,8,bag
id_000184,train,5,sandal
id_000185,train,8,bag
id_000186,train,1,trouser
id_000187,valid,7,sneaker
id_000188,test,NA,NA
id_000189,test,NA,NA
id_000190,test,NA,NA
id_000191,valid,7,sneaker
id_000192,train,3,dress
id_000193,train,1,trouser
id_000194,train,9,boot
id_000195,test,NA,NA
id_000196,train,5,sandal
id_000197,test,NA,NA
id_000198,train,8,bag
id_000199,valid,3,dress
id_000200,test,NA,NA
id_000201,train,2,pullover
id_000202,train,2,pullover
id_000203,test,NA,NA
id_000204,test,NA,NA
id_000205,train,1,trouser
id_000206,valid,5,sandal
id_000207,valid,5,sandal
id_000208,valid,1,trouser
id_000209,train,2,pullover
id_000210,train,7,sneaker
id_000211,train,9,boot
id_000212,train,0,tshirt
id_000213,test,NA,NA
id_000214,test,NA,NA
id_000215,train,8,bag
id_000216,valid,3,dress
id_000217,valid,6,shirt
id_000218,train,9,boot
id_000219,train,9,boot
id_000220,train,3,dress
id_000221,test,NA,NA
id_000222,train,1,trouser
id_000223,train,3,dress
id_000224,test,NA,NA
id_000225,valid,9,boot
id_000226,train,5,sandal
id_000227,test,NA,NA
id_000228,train,0,tshirt
id_000229,valid,4,coat
id_000230,train,8,bag
id_000231,valid,3,dress
id_000232,valid,1,trouser
id_000233,test,NA,NA
id_000234,train,6,shirt
id_000235,valid,3,dress
id_000236,test,NA,NA
id_000237,train,6,shirt
id_000238,test,NA,NA
id_000239,test,NA,NA
id_000240,valid,4,coat
id_000241,train,3,dress
id_000242,train,5,sandal
id_000243,train,9,boot
id_000244,test,NA,NA
id_000245,train,4,coat
id_000246,train,2,pullover
id_000247,test,NA,NA
id_000248,test,NA,NA
id_000249,train,4,coat
id_000250,train,9,boot
id_000251,test,NA,NA
id_000252,train,9,boot
id_000253,train,4,coat
id_000254,valid,6,shirt
id_000255,valid,4,coat
id_000256,train,1,trouser
id_000257,train,2,pullover
id_000258,test,NA,NA
id_000259,train,3,dress
id_000260,valid,9,boot
id_000261,valid,5,sandal
id_000262,train,3,dress
id_000263,train,2,pullover
id_000264,train,7,sneaker
id_000265,valid,6,shirt
id_000266,train,1,trouser
id_000267,valid,0,tshirt
id_000268,test,NA,NA
id_000269,valid,6,shirt
id_000270,train,1,trouser
id_000271,valid,0,tshirt
id_000272,valid,1,trouser
id_000273,train,3,dress
id_000274,train,1,trouser
id_000275,test,NA,NA
id_000276,train,1,trouser
id_000277,valid,2,pullover
id_000278,train,1,trouser
id_000279,test,NA,NA
id_000280,train,7,sneaker
id_000281,train,0,tshirt
id_000282,test,NA,NA
id_000283,valid,8,bag
id_000284,train,3,dress
id_000285,test,NA,NA
id_000286,train,1,trouser
id_000287,train,3,dress
id_000288,train,1,trouser
id_000289,train,1,trouser
id_000290,test,NA,NA
id_000291,train,2,pullover
id_000292,train,1,trouser
id_000293,valid,9,boot
id_000294,test,NA,NA
id_000295,train,5,sandal
id_000296,test,NA,NA
id_000297,train,0,tshirt
id_000298,test,NA,NA
id_000299,test,NA,NA
id_000300,train,9,boot
id_000301,train,6,shirt
id_000302,test,NA,NA
id_000303,train,4,coat
id_000304,train,4,coat
id_000305,test,NA,NA
id_000306,valid,9,boot
id_000307,valid,1,trouser
id_000308,valid,8,bag
id_000309,valid,0,tshirt
id_000310,test,NA,NA
id_000311,train,1,trouser
id_000312,test,NA,NA
id_000313,train,8,bag
id_000314,train,7,sneaker
id_000315,train,2,pullover
id_000316,valid,4,coat
id_000317,test,NA,NA
id_000318,test,NA,NA
id_000319,train,9,boot
id_000320,valid,6,shirt
id_000321,valid,6,shirt
id_000322,train,3,dress
id_000323,test,NA,NA
id_000324,test,NA,NA
id_000325,valid,8,bag
id_000326,valid,9,boot
id_000327,train,8,bag
id_000328,train,7,sneaker
id_000329,test,NA,NA
id_000330,test,NA,NA
id_000331,train,9,boot
id_000332,test,NA,NA
id_000333,train,3,dress
id_000334,valid,8,bag
id_000335,valid,0,tshirt
id_000336,train,3,dress
id_000337,train,4,coat
id_000338,train,1,trouser
id_000339,train,5,sandal
id_000340,valid,9,boot
id_000341,train,9,boot
id_000342,test,NA,NA
id_000343,test,NA,NA
id_000344,train,3,dress
id_000345,valid,6,shirt
id_000346,train,2,pullover
id_000347,train,4,coat
id_000348,valid,1,trouser
id_000349,valid,3,dress
id_000350,train,7,sneaker
id_000351,train,4,coat
id_000352,test,NA,NA
id_000353,valid,7,sneaker
id_000354,valid,4,coat
id_000355,test,NA,NA
id_000356,train,2,pullover
id_000357,train,8,bag
id_000358,test,NA,NA
id_000359,valid,8,bag
id_000360,train,4,coat
id_000361,train,1,trouser
id_000362,train,3,dress
id_000363,train,8,bag
id_000364,valid,2,pullover
id_000365,valid,5,sandal
id_000366,train,8,bag
id_000367,valid,0,tshirt
id_000368,train,6,shirt
id_000369,train,6,shirt
id_000370,valid,4,coat
id_000371,test,NA,NA
id_000372,test,NA,NA
id_000373,train,9,boot
id_000374,valid,2,pullover
id_000375,train,2,pullover
id_000376,train,4,coat
id_000377,train,3,dress
id_000378,valid,8,bag
id_000379,train,1,trouser
id_000380,train,4,coat
id_000381,train,4,coat
id_000382,test,NA,NA
id_000383,train,6,shirt
id_000384,test,NA,NA
id_000385,valid,2,pullover
id_000386,train,2,pullover
id_000387,valid,7,sneaker
id_000388,test,NA,NA
id_000389,train,1,trouser
id_000390,train,9,boot
id_000391,test,NA,NA
id_000392,train,1,trouser
id_000393,test,NA,NA
id_000394,train,5,sandal
id_000395,valid,1,trouser
id_000396,test,NA,NA
id_000397,valid,6,shirt
id_000398,train,3,dress
id_000399,valid,3,dress
id_000400,valid,1,trouser
id_000401,train,6,shirt
id_000402,train,1,trouser
id_000403,valid,9,boot
id_000404,test,NA,NA
id_000405,train,9,boot
id_000406,train,7,sneaker
id_000407,valid,3,dress
id_000408,train,7,sneaker
id_000409,test,NA,NA
id_000410,train,9,boot
id_000411,test,NA,NA
id_000412,test,NA,NA
id_000413,valid,7,sneaker
id_000414,train,7,sneaker
id_000415,train,7,sneaker
id_000416,valid,4,coat
id_000417,train,4,coat
id_000418,test,NA,NA
id_000419,train,6,shirt
id_000420,valid,8,bag
id_000421,test,NA,NA
id_000422,valid,5,sandal
id_000423,valid,6,shirt
id_000424,train,1,trouser
id_000425,train,3,dress
id_000426,test,NA,NA
