obs_id,train_id,delayed,month,day,weekday,arr_hour,dep_hour,origin,dest,distance,carrier
id_000001,train,1,7,11,3,20,17,DCA,SLC,1851,DL
id_000002,train,0,11,2,5,15,13,MDW,SDF,271,WN
id_000003,train,1,5,24,4,17,14,ORD,JFK,740,MQ
id_000004,test,NA,7,14,6,11,9,TUS,LAX,451,WN
id_000005,train,0,9,17,1,12,11,HOU,HRL,276,WN
id_000006,test,NA,1,5,5,18,17,DCA,RDU,227,MQ
id_000007,test,NA,3,15,4,8,6,ALB,CVG,623,OH
id_000008,valid,0,4,25,3,23,22,ATL,MCO,403,DL
id_000009,valid,0,4,14,6,14,13,PDX,RDM,116,OO
id_000010,train,0,12,5,3,8,6,PWM,BWI,452,FL
id_000011,train,1,2,19,1,7,7,CHA,MEM,271,9E
id_000012,train,1,12,26,3,23,21,IAH,MSP,1034,XE
id_000013,valid,0,6,20,3,13,10,DEN,RFD,829,OO
id_000014,train,0,1,4,4,10,9,MDW,BNA,395,WN
id_000015,valid,1,4,27,5,14,12,DEN,BOI,649,UA
id_000016,train,0,9,20,4,17,14,DEN,DFW,641,AA
id_000017,valid,1,4,21,6,19,18,DFW,PHX,868,AA
id_000018,test,NA,8,16,4,14,12,LGA,ORD,733,UA
id_000019,train,1,6,14,4,19,14,LAX,STL,1593,AA
id_000020,valid,0,8,1,3,23,21,JFK,BNA,766,B6
id_000021,test,NA,7,30,1,14,10,DEN,CVG,1069,OO
id_000022,train,1,10,15,1,16,14,MEM,CAE,511,9E
id_000023,valid,0,9,9,7,20,19,BUR,OAK,325,WN
id_000024,train,0,5,23,3,22,21,ORD,STL,258,AA
id_000025,train,1,8,14,2,9,6,CPR,MSP,674,9E
id_000026,train,0,6,15,5,18,12,DEN,LGA,1619,UA
id_000027,train,0,5,3,4,15,14,CLT,RDU,130,US
id_000028,train,0,6,23,6,17,14,PDX,DEN,992,UA
id_000029,test,NA,8,15,3,18,17,ATL,MDW,590,EV
id_000030,train,0,2,23,5,17,13,TUS,MSP,1298,NW
id_000031,train,0,3,12,1,13,10,DCA,MIA,920,AA
id_000032,train,0,2,22,4,17,15,ORD,SMF,1781,UA
id_000033,train,0,3,30,5,16,14,DEN,BUR,850,OO
id_000034,train,0,7,9,1,8,7,ATL,SLC,1589,DL
id_000035,test,NA,6,11,1,20,12,SEA,IAD,2306,UA
id_000036,valid,1,8,3,5,9,8,IAD,RDU,224,YV
id_000037,valid,1,6,18,1,21,18,DFW,ATL,732,DL
id_000038,train,1,1,27,6,8,6,VPS,DFW,626,MQ
id_000039,valid,0,10,4,4,12,10,MSP,GRR,408,9E
id_000040,train,1,1,30,2,16,14,CLT,IAH,913,YV
id_000041,test,NA,4,7,6,17,16,BUF,ORD,473,MQ
id_000042,valid,0,2,7,3,15,14,ATL,ICT,781,FL
id_000043,valid,0,2,14,3,14,12,PHX,ASE,491,YV
id_000044,train,0,9,6,4,20,18,CID,DFW,685,MQ
id_000045,train,1,2,5,1,14,6,SMF,ATL,2092,DL
id_000046,valid,0,2,19,1,17,15,LGA,DTW,501,MQ
id_000047,train,1,3,31,6,12,10,ORF,ATL,516,EV
id_000048,train,1,9,16,7,17,8,SFO,IAD,2419,UA
id_000049,valid,0,2,22,4,21,19,CLT,PWM,812,YV
id_000050,valid,1,5,24,4,10,7,ORD,ATL,606,AA
id_000051,train,1,8,8,3,22,19,LGA,CVG,585,MQ
id_000052,test,NA,3,28,3,16,15,CVG,GRR,268,OH
id_000053,train,0,2,22,4,10,8,BGR,DTW,750,9E
id_000054,train,1,7,23,1,12,6,SNA,ORD,1726,UA
