obs_id,train_id,delayed,month,day,weekday,arr_hour,dep_hour,origin,dest,distance,carrier
id_000005,train,1,3,27,2,14,12,LAS,PHX,256,US
id_000008,valid,1,8,18,6,19,17,PHL,MSP,980,NW
id_000011,train,0,3,14,3,21,20,BOS,PHL,280,US
id_000013,valid,1,8,9,4,12,11,BOS,LGA,185,DL
id_000029,test,NA,11,25,7,22,21,ATL,IAH,689,DL
id_000032,train,0,8,7,2,16,14,LAX,PHX,370,WN
id_000039,valid,0,9,30,7,20,19,ATL,SAN,1891,DL
id_000052,test,NA,11,12,1,19,17,EWR,ORD,719,UA
id_000080,test,NA,12,9,7,8,6,DTW,ATL,594,FL
id_000085,valid,1,10,6,6,17,16,SAN,LAS,258,WN
id_000086,train,1,3,27,2,18,11,LAS,CLT,1916,US
id_000092,train,1,1,2,2,21,19,EWR,DTW,487,NW
id_000104,test,NA,12,22,6,13,10,MCO,BOS,1121,B6
id_000115,train,1,2,12,1,21,13,SFO,BOS,2704,AA
id_000117,valid,1,9,5,3,19,13,SAN,ORD,1723,UA
id_000135,test,NA,12,5,3,12,10,BWI,CVG,430,OH
id_000141,valid,1,8,10,5,22,16,LAX,IAH,1379,CO
id_000145,valid,0,9,16,7,8,6,IAD,ATL,533,FL
id_000150,test,NA,11,8,4,8,7,BOS,PHL,280,US
id_000159,train,1,4,16,1,14,11,ORD,SEA,1721,UA
id_000177,valid,0,8,26,7,13,11,ATL,MSP,906,EV
id_000192,train,0,5,24,4,16,12,IAH,DTW,1076,NW
id_000215,test,NA,10,7,7,16,10,LAX,ORD,1745,AA
id_000218,test,NA,12,26,3,20,17,DFW,ATL,732,DL
id_000219,test,NA,12,27,4,13,11,ATL,PHL,665,DL
id_000225,test,NA,12,2,7,9,7,SEA,LAX,954,XE
id_000234,valid,1,8,14,2,11,8,ORD,LGA,733,UA
id_000241,train,1,4,11,3,20,19,DTW,MSP,528,NW
id_000242,train,1,7,29,7,16,14,PHL,ORD,678,AA
id_000243,test,NA,12,14,5,14,13,PHX,SLC,507,WN
id_000255,train,1,6,7,4,19,14,DFW,LGA,1389,AA
id_000264,valid,0,10,26,5,18,16,SFO,SEA,679,UA
id_000285,train,0,1,31,3,19,17,LGA,DEN,1619,F9
id_000287,train,0,4,14,6,16,14,MCO,JFK,944,B6
id_000300,test,NA,12,11,2,15,13,DCA,JFK,213,OH
id_000301,valid,1,8,15,3,8,6,BOS,ORD,867,AA
id_000309,train,0,1,18,4,12,9,DCA,DFW,1192,AA
id_000314,valid,1,9,20,4,16,15,DCA,BOS,399,US
id_000327,test,NA,10,15,1,13,12,MSP,DEN,680,NW
id_000331,test,NA,12,8,6,0,21,DFW,DCA,1192,AA
id_000355,test,NA,12,31,1,16,13,ORD,LGA,733,AA
id_000361,train,0,2,20,2,18,16,DTW,SLC,1481,OO
id_000371,train,0,6,11,1,17,16,SLC,LAX,590,OO
id_000387,valid,0,10,29,1,20,13,SEA,ATL,2182,DL
id_000388,test,NA,10,1,1,9,6,SEA,SLC,689,DL
id_000410,test,NA,12,22,6,20,18,ATL,ORD,606,UA
id_000411,test,NA,12,2,7,17,14,DTW,IAH,1076,CO
id_000412,train,0,5,20,7,23,15,SFO,BWI,2457,UA
id_000415,valid,0,9,21,5,18,16,BOS,BWI,370,OH
id_000416,train,0,6,29,5,8,6,DTW,LGA,501,NW
id_000462,train,1,6,18,1,16,13,MCO,DTW,957,NW
id_000473,valid,0,9,6,4,18,10,LAX,MCO,2217,UA
id_000486,train,1,6,13,3,8,0,LAX,ATL,1946,DL
id_000515,valid,0,9,8,6,16,14,ORD,LAS,1515,UA
id_000527,valid,0,10,25,4,10,8,MCO,PHL,861,FL
id_000535,train,0,2,1,4,21,17,EWR,PHX,2133,US
id_000537,train,0,5,27,7,14,12,CLT,ATL,227,DL
id_000559,test,NA,10,22,1,20,18,LGA,MSP,1020,AA
id_000568,valid,1,8,31,5,18,16,ATL,SLC,1589,DL
id_000575,test,NA,10,13,6,9,6,JFK,MCO,944,B6
id_000588,train,1,7,28,6,21,19,MCO,CVG,756,OH
id_000592,train,1,3,31,6,10,9,JFK,BOS,187,B6
id_000602,test,NA,12,5,3,18,15,DFW,CVG,812,OH
id_000603,train,1,2,16,5,18,17,DTW,CVG,229,9E
id_000614,train,0,7,1,7,13,11,LGA,ORD,733,UA
id_000615,valid,1,9,7,5,15,14,MSP,ORD,334,UA
id_000626,valid,1,8,2,4,12,10,SFO,SLC,599,OO
id_000628,valid,1,8,5,7,18,11,PHX,ATL,1587,US
id_000643,test,NA,12,8,6,13,12,SAN,LAX,109,OO
id_000647,train,1,1,2,2,13,7,DEN,LGA,1619,UA
id_000660,test,NA,11,26,1,13,12,LAX,LAS,236,US
id_000670,valid,1,8,20,1,17,17,DTW,ORD,235,AA
id_000704,valid,0,8,25,6,12,10,DFW,ORD,802,AA
id_000709,test,NA,12,27,4,19,17,DCA,ORD,612,UA
id_000714,valid,0,10,28,7,21,20,CVG,ORD,264,OO
id_000724,valid,1,9,30,7,18,15,MSP,CVG,596,OH
id_000733,valid,0,9,6,4,11,7,IAH,DTW,1076,CO
id_000740,train,0,1,23,2,12,10,ATL,DEN,1199,DL
id_000742,train,1,7,11,3,20,20,DFW,PHX,868,US
id_000748,test,NA,11,7,3,9,7,LAS,PHX,256,WN
id_000750,valid,1,8,4,6,18,16,MCO,ORD,1005,AA
id_000763,test,NA,11,23,5,15,13,CLT,DEN,1337,US
id_000775,valid,1,8,5,7,18,16,ORD,PHX,1440,US
id_000793,test,NA,12,28,5,10,7,SEA,DEN,1024,UA
id_000803,test,NA,12,15,6,14,12,DTW,LGA,501,MQ
id_000804,valid,1,9,21,5,22,20,ORD,SEA,1721,AA
id_000825,test,NA,11,24,6,16,9,LAS,ATL,1747,DL
id_000830,valid,1,9,12,3,14,10,SEA,DEN,1024,F9
id_000844,train,0,6,15,5,17,15,BOS,ORD,867,AA
id_000845,train,0,6,20,3,17,12,PHX,MSP,1276,NW
id_000847,train,0,1,19,5,22,20,PHL,LAS,2176,US
id_000851,test,NA,12,6,4,16,14,PHX,SEA,1107,US
id_000854,test,NA,12,12,3,10,7,JFK,SFO,2586,AA
id_000857,train,1,4,6,5,14,11,IAH,ORD,925,XE
id_000858,valid,0,9,25,2,9,7,CLT,PHL,448,US
id_000864,train,0,1,27,6,10,8,MCO,DEN,1545,UA
id_000881,train,1,5,10,4,23,18,LAS,MDW,1521,WN
id_000884,test,NA,11,19,1,22,19,MCO,EWR,938,B6
id_000920,test,NA,11,19,1,14,13,DTW,MSP,528,NW
id_000922,test,NA,12,21,5,11,9,BOS,LGA,185,MQ
id_000923,test,NA,12,17,1,18,15,DEN,ORD,888,AA
id_000945,train,1,6,24,7,15,6,SFO,JFK,2586,DL
id_000950,test,NA,10,21,7,20,15,DFW,LGA,1389,AA
id_000954,test,NA,11,18,7,19,18,DEN,LAS,629,F9
id_000957,test,NA,11,16,5,15,8,SAN,DTW,1957,NW
id_000971,test,NA,12,21,5,21,17,JFK,SAN,2446,B6
id_000973,train,0,6,24,7,14,13,CVG,IAH,871,OH
id_000983,test,NA,12,6,4,21,19,DFW,ORD,802,AA
id_000989,test,NA,12,13,4,10,8,ATL,CVG,373,DL
id_000993,valid,0,8,31,5,9,7,LGA,CLT,544,OH
id_000997,valid,0,8,18,6,8,7,PHX,LAS,256,US
id_001002,valid,0,8,1,3,15,13,EWR,ORD,719,CO
id_001003,train,1,5,25,5,20,18,DCA,LGA,214,MQ
id_001008,train,1,7,11,3,22,20,ORD,LAX,1745,AA
id_001014,test,NA,12,4,2,18,14,IAH,DCA,1208,CO
id_001019,train,0,2,20,2,22,20,MCO,ATL,403,FL
id_001036,train,0,3,19,1,16,15,ORD,MSP,334,UA
id_001039,test,NA,11,16,5,12,10,DTW,LGA,501,MQ
id_001057,valid,0,9,11,2,13,8,IAH,EWR,1400,CO
id_001061,test,NA,2,28,3,16,14,IAD,LAS,2066,UA
id_001066,test,NA,12,14,5,10,8,BOS,BWI,370,OH
id_001075,test,NA,11,13,2,20,17,IAH,ORD,925,CO
id_001089,test,NA,12,4,2,15,13,SLC,PHX,507,WN
id_001114,valid,1,8,5,7,23,20,ATL,LGA,761,DL
id_001120,valid,1,10,3,3,20,18,JFK,DCA,213,OH
id_001127,train,0,4,15,7,15,10,DEN,DCA,1476,UA
id_001142,train,0,4,27,5,21,20,SAN,LAS,258,US
id_001145,valid,1,10,6,6,15,13,CLT,BOS,728,US
id_001147,train,1,4,25,3,6,22,SEA,BOS,2496,AS
id_001150,train,1,2,23,5,22,20,BWI,BOS,370,OH
id_001153,valid,0,9,12,3,8,6,LAS,PHX,256,US
id_001160,train,1,5,22,2,15,13,DTW,ATL,594,NW
id_001165,test,NA,12,4,2,20,14,SFO,ORD,1846,UA
id_001167,test,NA,12,23,7,8,6,IAH,ATL,689,DL
id_001194,valid,0,8,27,1,12,11,DCA,ATL,547,DL
id_001210,valid,1,8,14,2,14,11,ORD,PHL,678,AA
id_001216,test,NA,12,4,2,11,10,SFO,LAX,337,UA
id_001226,train,0,2,19,1,16,15,LAX,SAN,109,MQ
id_001229,test,NA,12,30,7,21,13,LAX,EWR,2454,CO
id_001231,train,1,5,20,7,1,19,SEA,MDW,1733,WN
id_001245,test,NA,12,25,2,22,18,MSP,ATL,906,FL
id_001246,test,NA,12,18,2,17,15,SLC,SFO,599,OO
id_001249,valid,1,9,13,4,17,16,ATL,LAS,1747,DL
id_001268,test,NA,12,13,4,9,6,BOS,SFO,2704,UA
id_001271,train,1,3,5,1,21,18,JFK,LAS,2248,B6
id_001276,test,NA,8,16,4,20,18,DFW,ORD,802,AA
id_001284,valid,1,9,16,7,19,17,ORD,DFW,802,AA
id_001292,test,NA,11,14,3,13,10,MCO,BOS,1121,B6
id_001293,valid,0,10,13,6,19,17,PHL,DEN,1557,F9
id_001304,test,NA,12,20,4,15,13,DTW,BOS,632,NW
id_001337,train,1,7,30,1,20,18,LGA,CLT,544,OH
id_001341,test,NA,2,28,3,10,7,BOS,LAS,2381,US
id_001349,valid,0,9,29,6,17,12,LAS,ORD,1515,UA
id_001357,train,1,7,8,7,16,12,DFW,PHL,1302,AA
id_001361,test,NA,11,8,4,12,10,ORD,LAX,1745,UA
id_001367,train,0,7,16,1,21,17,DEN,MDW,895,F9
id_001374,train,0,5,17,4,19,18,LAX,SAN,109,OO
id_001398,test,NA,11,29,4,10,8,CVG,SLC,1449,DL
id_001400,valid,1,9,13,4,7,6,LGA,BOS,185,US
id_001403,test,NA,12,15,6,13,12,DTW,LAS,1750,NW
id_001409,train,0,2,26,1,23,21,DEN,SLC,391,F9
id_001420,train,1,5,23,3,18,17,DTW,CLT,500,NW
id_001423,test,NA,11,29,4,20,16,DEN,IAH,861,CO
id_001437,train,1,7,13,5,8,7,ATL,CVG,373,EV
id_001439,test,NA,11,18,7,18,15,LAS,DEN,629,UA
id_001450,valid,0,9,28,5,23,22,ORD,DEN,888,UA
id_001454,valid,1,8,5,7,18,16,DFW,SLC,988,AA
id_001459,train,1,5,20,7,21,19,LAS,SFO,414,UA
id_001462,train,1,6,21,4,8,6,PHX,DEN,602,UA
id_001466,train,1,4,20,5,18,17,CVG,ORD,264,MQ
id_001474,train,1,2,19,1,21,17,LAS,DFW,1055,AA
id_001485,test,NA,11,3,6,14,11,EWR,IAH,1400,CO
id_001486,train,1,6,19,2,10,9,LGA,ORD,733,UA
id_001487,valid,1,9,14,5,17,16,SLC,PHX,507,DL
id_001490,test,NA,11,19,1,16,13,LGA,ATL,761,DL
id_001507,valid,0,9,26,3,8,7,ORD,PHX,1440,AA
id_001521,train,0,6,23,6,23,21,BOS,DEN,1754,B6
id_001553,test,NA,11,8,4,21,19,IAD,LAX,2288,UA
id_001557,test,NA,5,25,5,18,16,BOS,BWI,370,OH
id_001559,test,NA,11,20,2,10,8,ATL,BWI,576,DL
id_001563,test,NA,11,26,1,7,6,DFW,DEN,641,F9
id_001568,test,NA,11,20,2,17,10,LAX,ATL,1946,DL
id_001574,valid,1,10,9,2,15,12,MCO,LGA,950,AA
id_001591,train,1,2,26,1,14,12,SFO,LAX,337,AA
id_001603,train,1,1,14,7,20,18,ORD,LAS,1515,UA
id_001615,test,NA,11,20,2,21,19,BWI,MDW,611,WN
id_001620,test,NA,11,1,4,13,12,ORD,DEN,888,AA
id_001626,test,NA,11,5,1,18,16,DCA,ATL,547,FL
id_001630,valid,1,10,25,4,5,23,LAS,ORD,1515,UA
id_001633,valid,0,10,27,6,14,11,SFO,DEN,967,UA
id_001640,train,0,1,1,1,0,23,LAS,LAX,236,US
id_001642,valid,0,10,11,4,13,12,SAN,PHX,304,WN
id_001654,train,0,4,11,3,10,9,MCO,ATL,403,DL
id_001656,valid,1,9,21,5,23,19,ORD,BOS,867,UA
id_001657,train,1,1,21,7,19,16,BOS,IAH,1597,CO
id_001686,test,NA,11,30,5,13,10,DCA,PHX,1979,US
id_001693,valid,1,10,25,4,12,10,ATL,LGA,761,AA
id_001703,valid,0,9,23,7,20,15,PHX,DFW,868,AA
id_001725,train,0,3,1,4,22,19,LAX,DEN,862,F9
id_001743,valid,1,8,21,2,23,19,ORD,MCO,1005,UA
id_001756,train,0,1,23,2,8,7,DFW,LAS,1055,US
id_001759,train,0,5,6,7,21,17,ORD,PHL,678,UA
id_001769,test,NA,11,9,5,17,15,DCA,MCO,759,US
id_001772,test,NA,5,24,4,16,13,ORD,CLT,599,MQ
id_001780,train,0,3,16,5,18,16,DTW,ATL,594,FL
id_001786,train,0,2,1,4,13,11,SEA,SFO,679,UA
id_001789,valid,0,9,12,3,13,11,MCO,DFW,984,AA
id_001790,test,NA,12,7,5,10,7,LAX,SLC,590,OO
id_001808,test,NA,12,6,4,13,12,LAS,LAX,236,MQ
id_001809,valid,1,9,7,5,13,12,LGA,ORD,733,AA
