obs_id,train_id,class,class_name
id_000750,train,10,windflower
id_000929,valid,12,lily valley
id_000004,train,1,buttercup
id_000389,test,NA,NA
id_000867,test,NA,NA
id_000832,train,11,snowdrop
id_001157,train,15,tigerlily
id_000785,test,NA,NA
id_000161,train,3,daffodil
id_000960,test,NA,NA
id_001201,train,16,tulip
id_000664,train,9,sunflower
id_000693,valid,9,sunflower
id_000793,test,NA,NA
id_000318,test,NA,NA
id_000777,valid,10,windflower
id_001017,valid,13,bluebell
id_000487,train,7,iris
id_001141,train,15,tigerlily
id_000063,test,NA,NA
id_000940,valid,12,lily valley
id_000266,train,4,daisy
id_000697,valid,9,sunflower
id_000330,train,5,dandelion
id_000486,train,7,iris
id_000810,train,11,snowdrop
id_000959,test,NA,NA
id_001213,train,16,tulip
id_000396,test,NA,NA
id_000625,test,NA,NA
id_000895,train,12,lily valley
id_000886,train,12,lily valley
id_000666,train,9,sunflower
id_000992,train,13,bluebell
id_000275,train,4,daisy
id_000723,train,10,windflower
id_000883,train,12,lily valley
id_000065,test,NA,NA
id_000756,train,10,windflower
id_000033,train,1,buttercup
id_000378,valid,5,dandelion
id_000422,train,6,fritillary
id_001207,train,16,tulip
id_000563,train,8,pansy
id_001173,valid,15,tigerlily
id_000936,valid,12,lily valley
id_000083,train,2,colts foot
id_000925,valid,12,lily valley
id_000821,train,11,snowdrop
id_000873,test,NA,NA
id_000421,train,6,fritillary
id_001280,test,NA,NA
id_000288,valid,4,daisy
id_000875,test,NA,NA
id_001358,test,NA,NA
id_000733,train,10,windflower
id_000228,test,NA,NA
id_000117,train,2,colts foot
id_001156,train,15,tigerlily
id_000123,valid,2,colts foot
id_000604,valid,8,pansy
id_000114,train,2,colts foot
id_001278,test,NA,NA
id_001180,valid,15,tigerlily
id_000090,train,2,colts foot
id_001230,train,16,tulip
id_000383,test,NA,NA
id_001220,train,16,tulip
id_000635,test,NA,NA
id_000418,train,6,fritillary
id_000453,valid,6,fritillary
id_000976,train,13,bluebell
id_001050,train,14,corcus
id_000254,train,4,daisy
id_000970,train,13,bluebell
id_000911,train,12,lily valley
id_000792,test,NA,NA
id_000294,valid,4,daisy
id_000195,train,3,daffodil
id_000153,test,NA,NA
id_001047,train,14,corcus
id_000357,train,5,dandelion
id_001143,train,15,tigerlily
id_001266,test,NA,NA
id_000901,train,12,lily valley
id_000452,valid,6,fritillary
id_000268,train,4,daisy
id_000382,test,NA,NA
id_001153,train,15,tigerlily
id_000056,valid,1,buttercup
id_000322,train,5,dandelion
id_001099,valid,14,corcus
id_000069,test,NA,NA
id_000371,valid,5,dandelion
id_001312,train,17,cowslip
id_000538,valid,7,iris
id_000994,train,13,bluebell
id_000108,train,2,colts foot
id_000070,test,NA,NA
id_000576,train,8,pansy
id_000186,train,3,daffodil
id_000053,valid,1,buttercup
id_000529,valid,7,iris
id_000401,train,6,fritillary
id_000861,test,NA,NA
id_000058,valid,1,buttercup
id_001279,test,NA,NA
id_001167,valid,15,tigerlily
id_000194,train,3,daffodil
id_000548,test,NA,NA
id_001293,train,17,cowslip
id_000040,train,1,buttercup
id_000184,train,3,daffodil
id_000908,train,12,lily valley
id_000612,valid,8,pansy
id_000512,train,7,iris
id_001106,test,NA,NA
id_001016,valid,13,bluebell
id_000072,test,NA,NA
id_000732,train,10,windflower
id_001327,valid,17,cowslip
id_000651,train,9,sunflower
id_000954,test,NA,NA
id_000546,test,NA,NA
id_000815,train,11,snowdrop
id_001285,train,17,cowslip
id_000559,test,NA,NA
id_000013,train,1,buttercup
id_001079,train,14,corcus
id_001254,valid,16,tulip
id_000241,train,4,daisy
id_000949,test,NA,NA
id_000301,test,NA,NA
id_000966,train,13,bluebell
id_000774,valid,10,windflower
id_000445,valid,6,fritillary
id_000760,train,10,windflower
id_001100,valid,14,corcus
id_001011,valid,13,bluebell
id_000663,train,9,sunflower
id_000762,valid,10,windflower
id_000903,train,12,lily valley
id_001267,test,NA,NA
id_000641,train,9,sunflower
id_000162,train,3,daffodil
id_000042,valid,1,buttercup
id_000219,valid,3,daffodil
id_000416,train,6,fritillary
id_000142,test,NA,NA
id_000235,test,NA,NA
id_001155,train,15,tigerlily
id_000451,valid,6,fritillary
id_000447,valid,6,fritillary
id_000825,train,11,snowdrop
id_001185,test,NA,NA
id_000225,test,NA,NA
id_000737,train,10,windflower
id_000839,train,11,snowdrop
id_001329,valid,17,cowslip
id_001347,test,NA,NA
id_000336,train,5,dandelion
id_001215,train,16,tulip
id_000579,train,8,pansy
id_000048,valid,1,buttercup
id_000714,test,NA,NA
id_000285,valid,4,daisy
id_000271,train,4,daisy
id_001342,test,NA,NA
id_001002,valid,13,bluebell
id_000467,test,NA,NA
id_001233,train,16,tulip
id_000918,train,12,lily valley
id_001339,valid,17,cowslip
id_000543,test,NA,NA
id_000572,train,8,pansy
id_000133,valid,2,colts foot
id_001042,train,14,corcus
id_000950,test,NA,NA
id_001219,train,16,tulip
id_000682,valid,9,sunflower
id_001178,valid,15,tigerlily
id_001333,valid,17,cowslip
id_000345,train,5,dandelion
id_000656,train,9,sunflower
id_000245,train,4,daisy
id_000767,valid,10,windflower
id_001235,train,16,tulip
id_000170,train,3,daffodil
id_000678,train,9,sunflower
id_000081,train,2,colts foot
id_000822,train,11,snowdrop
id_000734,train,10,windflower
id_000765,valid,10,windflower
id_001318,train,17,cowslip
id_000405,train,6,fritillary
id_000025,train,1,buttercup
id_001268,test,NA,NA
id_000859,valid,11,snowdrop
id_000622,test,NA,NA
id_000064,test,NA,NA
id_001200,test,NA,NA
id_000646,train,9,sunflower
id_000588,train,8,pansy
id_001345,test,NA,NA
id_000028,train,1,buttercup
id_000349,train,5,dandelion
id_000696,valid,9,sunflower
id_000631,test,NA,NA
id_000899,train,12,lily valley
id_000227,test,NA,NA
id_000981,train,13,bluebell
id_000435,train,6,fritillary
id_000995,train,13,bluebell
id_001297,train,17,cowslip
id_000131,valid,2,colts foot
id_000291,valid,4,daisy
id_000700,valid,9,sunflower
id_000634,test,NA,NA
id_000735,train,10,windflower
id_000776,valid,10,windflower
id_000124,valid,2,colts foot
id_000505,train,7,iris
id_000403,train,6,fritillary
id_001310,train,17,cowslip
id_000526,valid,7,iris
id_000939,valid,12,lily valley
id_000400,test,NA,NA
id_001323,valid,17,cowslip
id_001084,valid,14,corcus
id_000376,valid,5,dandelion
id_001231,train,16,tulip
id_001062,train,14,corcus
id_000887,train,12,lily valley
id_000679,train,9,sunflower
id_000199,train,3,daffodil
id_001221,train,16,tulip
id_000046,valid,1,buttercup
id_000482,train,7,iris
id_000210,valid,3,daffodil
id_000307,test,NA,NA
id_000496,train,7,iris
id_000093,train,2,colts foot
id_000924,valid,12,lily valley
id_000863,test,NA,NA
id_000824,train,11,snowdrop
id_000002,train,1,buttercup
id_000509,train,7,iris
id_000644,train,9,sunflower
id_000373,valid,5,dandelion
id_000516,train,7,iris
id_000647,train,9,sunflower
id_000484,train,7,iris
id_000755,train,10,windflower
id_000553,test,NA,NA
id_000325,train,5,dandelion
id_001303,train,17,cowslip
id_001195,test,NA,NA
id_001194,test,NA,NA
id_000722,train,10,windflower
id_000426,train,6,fritillary
id_000900,train,12,lily valley
id_000321,train,5,dandelion
id_000316,test,NA,NA
id_000601,valid,8,pansy
id_001059,train,14,corcus
id_000956,test,NA,NA
id_001051,train,14,corcus
id_000558,test,NA,NA
id_000984,train,13,bluebell
id_000677,train,9,sunflower
id_000243,train,4,daisy
id_001015,valid,13,bluebell
id_000511,train,7,iris
id_000851,valid,11,snowdrop
