obs_id,train_id,awake,name,genus,vore,order,bodywt_log
id_000001,train,11.9,Cheetah,Acinonyx,carni,Carnivora,3.912023005428146
id_000002,train,7,Owl monkey,Aotus,omni,Primates,-0.7339691750802004
id_000003,train,9.6,Mountain beaver,Aplodontia,herbi,Rodentia,0.30010459245033816
id_000004,test,NA,Greater short-tailed shrew,Blarina,omni,Soricomorpha,-3.9633162998156966
id_000005,train,20,Cow,Bos,herbi,Artiodactyla,6.396929655216146
id_000006,test,NA,Three-toed sloth,Bradypus,herbi,Pilosa,1.3480731482996928
id_000007,test,NA,Northern fur seal,Callorhinus,carni,Carnivora,3.0199369622508083
id_000008,train,13.9,Dog,Canis,carni,Carnivora,2.6390573296152584
id_000009,test,NA,Roe deer,Capreolus,herbi,Artiodactyla,2.6946271807700692
id_000010,train,18.7,Goat,Capri,herbi,Artiodactyla,3.5115454388310208
id_000011,train,14.6,Guinea pig,Cavis,herbi,Rodentia,-0.3174542307854511
id_000012,train,14,Grivet,Cercopithecus,omni,Primates,1.55814461804655
id_000013,train,11.5,Chinchilla,Chinchilla,herbi,Rodentia,-0.8675005677047231
id_000014,train,13.7,Star-nosed mole,Condylura,omni,Soricomorpha,-2.8134107167600364
id_000015,train,15.7,African giant pouched rat,Cricetomys,omni,Rodentia,0
id_000016,train,14.9,Lesser short-tailed shrew,Cryptotis,omni,Soricomorpha,-5.298317366548036
id_000017,test,NA,Long-nosed armadillo,Dasypus,carni,Cingulata,1.252762968495368
id_000018,train,18.7,Tree hyrax,Dendrohyrax,herbi,Hyracoidea,1.0818051703517284
id_000019,train,6,North American Opossum,Didelphis,omni,Didelphimorphia,0.5306282510621704
id_000020,train,20.1,Asian elephant,Elephas,herbi,Proboscidea,7.842671474979457
id_000021,train,4.3,Big brown bat,Eptesicus,insecti,Chiroptera,-3.7722610630529876
id_000022,test,NA,Horse,Equus,herbi,Perissodactyla,6.255750041753367
id_000023,train,20.9,Donkey,Equus,herbi,Perissodactyla,5.231108616854587
