obs_id,train_id,fgm,period,shot_clock,dribbles,touch_time,shot_dist,pts_type,close_def_dist,shooter_height,defender_height,player_name
id_000001,train,0,2,18.6,0,0.8,23.7,2,7.9,78,81,Allen Crabbe
id_000002,train,0,4,11,0,1.2,26.7,3,2.8,77,77,arron afflalo
id_000003,train,0,3,4.9,2,1.8,9.4,2,3,80,80,hollis thompson
id_000004,test,NA,4,2,3,3.1,24.3,2,5.8,75,75,stephen curry
id_000005,train,0,4,9.9,4,3.9,14.6,2,4.3,73,74,darren collison
id_000006,test,NA,3,12.7,6,6.7,9.1,2,1.6,77,76,arron afflalo
id_000007,test,NA,1,3.1,4,5.9,3.5,2,1.6,83,82,lamarcus aldridge
id_000008,valid,0,2,24,2,4.2,35.2,3,28,76,73,cj mccollum
id_000009,valid,0,3,19.8,0,0.7,22.7,3,5,74,75,avery bradley
id_000010,train,0,4,11.6,2,3.2,3.9,2,1.2,78,82,michael carter-williams
id_000011,train,0,1,8.1,0,0.9,22.6,3,4.5,81,73,chris copeland
id_000012,train,1,3,3.6,3,3.2,18.1,2,4.4,83,78,giannis antetokounmpo
id_000013,valid,0,1,22.9,0,1.4,21.7,2,7.1,79,83,wesley johnson
id_000014,train,1,2,12,2,4.2,3.5,2,2.9,83,82,chris bosh
id_000015,valid,1,1,16.8,1,1.1,9.5,2,4.1,86,85,alexis ajinca
id_000016,train,0,3,7.6,0,1.4,23.9,3,9.8,77,73,rodney stuckey
id_000017,valid,0,1,13.5,0,1.3,24.1,3,5.1,80,75,trevor booker
id_000018,test,NA,1,7.3,3,5.7,5.6,2,1.5,85,82,donatas motiejunas
id_000019,train,1,3,8,2,2.3,4.3,2,2.7,79,79,jimmy butler
id_000020,valid,0,2,7.2,0,0.8,24,3,3.2,77,80,arron afflalo
id_000021,test,NA,1,24,0,0.6,1.5,2,2.4,83,83,mason plumlee
id_000022,train,1,4,8,1,2.5,21.8,2,7,80,81,luc mbah a moute
id_000023,valid,1,1,14.1,4,3.3,8.8,2,2.1,80,79,demarre carroll
id_000024,train,0,2,5.1,0,0,6.6,2,2.6,82,83,henry sims
id_000025,train,0,2,10,3,6,8.1,2,2.3,82,85,derrick favors
id_000026,train,1,3,21.2,2,3.9,2.8,2,4.8,83,73,giannis antetokounmpo
id_000027,train,0,4,17.4,0,1.1,28,3,5.1,75,74,damian lillard
id_000028,train,1,3,18.4,0,0.7,5.5,2,2.4,80,80,kenneth faried
id_000029,test,NA,2,7.3,0,0,3.6,2,1.4,85,83,rudy gobert
id_000030,train,1,3,24,0,0.2,6,2,0.1,83,82,marcin gortat
id_000031,train,0,4,1.6,4,5.9,25.5,3,4.6,73,75,chris paul
id_000032,train,0,2,3.1,3,2.4,26.4,3,4.2,74,75,tony parker
id_000033,train,0,4,20.4,0,1,24.6,3,5.5,78,76,dante exum
id_000034,train,0,2,13.4,1,4.8,14.6,2,1.4,80,76,andrew wiggins
id_000035,test,NA,5,24,0,0,8.4,2,2.8,81,81,darrell arthur
id_000036,valid,0,1,10,1,5.2,8.7,2,3.6,79,85,jason maxiell
id_000037,valid,0,5,16.9,7,7,25.5,3,4.8,75,75,damian lillard
id_000038,train,1,2,12.9,1,2.5,0.9,2,2.1,85,81,kelly olynyk
id_000039,valid,1,1,12.5,1,3.6,3.6,2,2.7,82,80,Amar'e Stoudemire
id_000040,train,1,2,21.4,3,2.3,7.8,2,2.2,80,80,lebron james
id_000041,test,NA,4,8.8,0,0.9,2.5,2,0.8,81,81,tyler hansbrough
id_000042,valid,0,4,3.3,1,1.6,3.3,2,1.6,82,85,anthony davis
id_000043,valid,0,3,5.7,1,2.4,9,2,1.9,85,83,andrew bogut
id_000044,train,0,2,15.1,0,3,2.4,2,3.8,80,85,kenneth faried
id_000045,train,0,3,6.3,2,2.5,6.1,2,1,79,85,jimmy butler
id_000046,valid,1,3,15.9,0,0.9,23.1,3,3.5,77,77,O.J. Mayo
