obs_id,train_id,duration,day,hour,minute,weekday,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_distance,pickup_NTACode,dropoff_NTACode
id_000001,train,1183,5,10,48,5,-73.96575927734375,40.75883102416992,-73.94647216796875,40.78119659423828,2.1,MN19,MN32
id_000002,train,629,12,14,22,5,-73.96135711669922,40.77151107788086,-73.9688949584961,40.76111602783203,0.8,MN40,MN19
id_000003,train,278,14,2,7,7,-73.97425079345703,40.75101089477539,-73.955474853515625,40.776756286621094,1.9,MN19,MN32
id_000004,test,NA,9,18,4,2,-73.96186828613281,40.755733489990234,-73.95375061035156,40.784969329833984,2.5,MN19,MN40
id_000005,train,222,15,15,48,1,-73.97254943847656,40.791053771972656,-73.97295379638672,40.79559326171875,0.43,MN12,MN12
id_000006,test,NA,19,15,47,5,-74.0071029663086,40.72910690307617,-73.87413024902344,40.77156066894531,11.4,MN23,QN27
id_000007,test,NA,5,21,36,5,-73.97945404052734,40.74964141845703,-73.95499420166016,40.81040573120117,6.58,MN20,MN09
id_000008,valid,882,1,9,54,1,-73.95783233642578,40.76572036743164,-73.93885040283203,40.844886779785156,6.8,MN31,MN36
id_000009,valid,480,29,16,26,1,-74.00751495361328,40.74092483520508,-73.9948959350586,40.750186920166016,1.6,MN23,MN17
id_000010,train,980,13,18,30,6,-73.97675323486328,40.78504180908203,-73.98099517822266,40.76472091674805,1.69,MN12,MN17
id_000011,train,325,22,12,50,1,-73.98443603515625,40.75669860839844,-73.97037506103516,40.75721740722656,1,MN17,MN19
id_000012,train,1285,3,18,6,3,-73.95584869384766,40.784908294677734,-73.98546600341797,40.722896575927734,6.3,MN40,MN22
id_000013,valid,345,5,10,50,5,-73.98284149169922,40.735355377197266,-73.98933410644531,40.73810958862305,0.7,MN21,MN13
id_000014,train,1129,20,21,50,6,-73.9942398071289,40.75099182128906,-73.96763610839844,40.7667236328125,2.39,MN17,MN40
id_000015,valid,1232,5,18,50,5,-73.95411682128906,40.76622009277344,-73.981170654296875,40.73091125488281,3.2,MN31,MN50
id_000016,train,877,11,9,49,4,-73.9891357421875,40.74453353881836,-74.005157470703125,40.75143051147461,1.2,MN13,MN13
id_000017,valid,1299,23,20,25,2,-73.99725341796875,40.721900939941406,-73.97811126708984,40.786170959472656,5.71,MN24,MN12
id_000018,test,NA,29,20,56,1,-73.97023010253906,40.79386901855469,-73.94893646240234,40.781768798828125,1.59,MN12,MN32
id_000019,train,1946,15,18,14,1,-73.97907257080078,40.78505325317383,-73.98970794677734,40.74102020263672,3.6,MN12,MN13
id_000020,valid,408,18,11,54,4,-73.98607635498047,40.7469596862793,-73.9935073852539,40.73439025878906,1.06,MN17,MN23
id_000021,test,NA,1,1,45,1,-73.99407958984375,40.7200813293457,-73.95821380615234,40.721778869628906,3.66,MN27,BK73
id_000022,train,207,21,4,26,7,-74.00496673583984,40.72307586669922,-74.002227783203125,40.71944046020508,0.5,MN24,MN24
id_000023,valid,566,22,0,22,1,-74.00267791748047,40.749839782714844,-74.00678253173828,40.74393844604492,0.83,MN13,MN13
id_000024,train,619,14,8,22,7,-73.97801208496094,40.74616622924805,-73.98265075683594,40.76740264892578,2,MN20,MN15
id_000025,train,294,29,19,50,1,-74.0054702758789,40.74040222167969,-73.99568939208984,40.75905227661133,1.5,MN23,MN15
id_000026,train,887,20,8,50,6,-73.95934295654297,40.77165985107422,-73.97511291503906,40.752769470214844,1.73,MN40,MN19
id_000027,train,492,24,18,41,3,-73.94642639160156,40.772708892822266,-73.9791030883789,40.737281799316406,3.24,MN32,MN21
id_000028,train,1040,22,16,47,1,-73.97587585449219,40.76559066772461,-73.973907470703125,40.7473258972168,1.7,MN99,MN20
id_000029,test,NA,26,7,21,5,-73.99018096923828,40.7562370300293,-73.97594451904297,40.74919509887695,1.18,MN17,MN20
id_000030,train,230,30,23,46,2,-73.96441650390625,40.767120361328125,-73.96110534667969,40.75868225097656,0.9,MN40,MN19
id_000031,train,3168,12,14,11,5,-73.98499298095703,40.759979248046875,-73.8651123046875,40.77055358886719,10.35,MN17,QN98
id_000032,train,276,5,8,33,5,-73.97520446777344,40.75259017944336,-73.98310852050781,40.743736267089844,0.7,MN19,MN20
id_000033,train,918,4,13,20,4,-73.9611587524414,40.77178955078125,-73.97208404541016,40.75703048706055,1.1,MN40,MN19
id_000034,train,568,25,17,37,4,-73.99015045166016,40.71939468383789,-74.006011962890625,40.7092170715332,1.5,MN27,MN25
id_000035,test,NA,1,2,13,1,-73.992279052734375,40.75676345825195,-73.97840118408203,40.763187408447266,1.1,MN15,MN17
id_000036,valid,888,18,18,43,4,-73.98919677734375,40.758331298828125,-73.969451904296875,40.78861999511719,2.68,MN15,MN12
id_000037,valid,565,7,11,31,7,-73.9747085571289,40.7298583984375,-73.97864532470703,40.74491500854492,1.76,MN50,MN20
id_000038,train,360,6,21,10,6,-73.95487976074219,40.77362060546875,-73.9664306640625,40.75727081298828,1.3,MN32,MN19
