obs_id,train_id,class,class_name
id_010739,valid,9,ship
id_001404,test,NA,NA
id_004987,valid,4,cat
id_009326,train,8,monkey
id_001806,train,2,bird
id_003381,train,3,car
id_006732,test,NA,NA
id_011057,train,9,ship
id_006721,train,6,dog
id_008801,train,7,horse
id_007397,train,6,dog
id_007019,valid,6,dog
id_010495,valid,9,ship
id_012156,test,NA,NA
id_006219,valid,5,deer
id_001147,valid,1,airplane
id_004672,test,NA,NA
id_000937,train,1,airplane
id_011163,valid,9,ship
id_007037,train,6,dog
id_009317,train,8,monkey
id_006071,valid,5,deer
id_009800,test,NA,NA
id_010155,valid,8,monkey
id_004606,train,4,cat
id_005284,test,NA,NA
id_002210,train,2,bird
id_001222,train,1,airplane
id_000999,valid,1,airplane
id_012866,train,10,truck
id_005956,test,NA,NA
id_002899,valid,3,car
id_002010,train,2,bird
id_002784,test,NA,NA
id_009638,train,8,monkey
id_006548,test,NA,NA
id_010966,train,9,ship
id_012288,test,NA,NA
id_010554,train,9,ship
id_011947,valid,10,truck
id_006633,train,6,dog
id_009391,valid,8,monkey
id_002075,valid,2,bird
id_011494,train,9,ship
id_008917,train,7,horse
id_006403,valid,5,deer
id_011035,valid,9,ship
id_006114,train,5,deer
id_004682,train,4,cat
id_000189,train,1,airplane
id_010809,train,9,ship
id_002836,test,NA,NA
id_000263,valid,1,airplane
id_003194,train,3,car
id_003446,train,3,car
id_010634,train,9,ship
id_000344,test,NA,NA
id_002951,valid,3,car
id_010988,test,NA,NA
id_007002,train,6,dog
id_007965,train,7,horse
id_002184,test,NA,NA
id_008725,train,7,horse
id_008580,test,NA,NA
id_001161,train,1,airplane
id_005201,train,5,deer
id_008329,train,7,horse
id_012333,train,10,truck
id_011629,train,9,ship
id_008970,train,7,horse
id_008552,test,NA,NA
id_012593,train,10,truck
id_003802,train,3,car
id_003588,test,NA,NA
id_001811,valid,2,bird
id_011132,test,NA,NA
id_009723,valid,8,monkey
id_006067,valid,5,deer
id_003021,train,3,car
id_009359,valid,8,monkey
id_003976,test,NA,NA
id_011196,test,NA,NA
id_001328,test,NA,NA
id_009249,train,8,monkey
id_012681,train,10,truck
id_001061,train,1,airplane
id_002880,test,NA,NA
id_005206,train,5,deer
id_001093,train,1,airplane
id_007260,test,NA,NA
id_009500,test,NA,NA
id_001578,train,2,bird
id_000770,train,1,airplane
id_006081,train,5,deer
id_005020,test,NA,NA
id_004519,valid,4,cat
id_001829,train,2,bird
id_012583,valid,10,truck
id_007873,train,7,horse
id_007169,train,6,dog
id_004426,train,4,cat
id_001398,train,2,bird
id_009062,train,7,horse
id_004918,train,4,cat
id_001971,valid,2,bird
id_001189,train,1,airplane
id_000573,train,1,airplane
id_010671,valid,9,ship
id_006511,valid,6,dog
id_008092,test,NA,NA
id_002593,train,2,bird
id_000728,test,NA,NA
id_008264,test,NA,NA
id_000460,test,NA,NA
id_007893,train,7,horse
id_003431,valid,3,car
id_004721,train,4,cat
id_009166,train,8,monkey
id_007571,valid,6,dog
id_005787,valid,5,deer
id_003569,train,3,car
id_004969,train,4,cat
id_008983,valid,7,horse
id_010441,train,9,ship
id_000202,train,1,airplane
id_005624,test,NA,NA
id_012983,valid,10,truck
id_000983,valid,1,airplane
id_011304,test,NA,NA
id_005085,train,4,cat
id_004070,train,4,cat
id_003211,valid,3,car
id_006315,valid,5,deer
id_003905,train,4,cat
id_004002,train,4,cat
id_010629,train,9,ship
id_007881,train,7,horse
id_009984,test,NA,NA
id_000858,train,1,airplane
id_006997,train,6,dog
id_012614,train,10,truck
id_002585,train,2,bird
id_005905,train,5,deer
id_009390,train,8,monkey
id_006855,valid,6,dog
id_001943,valid,2,bird
id_001373,train,2,bird
id_006488,test,NA,NA
id_006034,train,5,deer
id_006113,train,5,deer
id_005375,valid,5,deer
id_003689,train,3,car
id_009820,test,NA,NA
id_010949,train,9,ship
id_005540,test,NA,NA
id_010427,valid,9,ship
id_005599,valid,5,deer
id_003162,train,3,car
id_012129,train,10,truck
id_003630,train,3,car
id_009795,valid,8,monkey
id_002255,valid,2,bird
id_004634,train,4,cat
id_001106,train,1,airplane
id_006934,train,6,dog
id_005143,valid,4,cat
id_009480,test,NA,NA
id_009658,train,8,monkey
id_003916,test,NA,NA
id_003201,train,3,car
id_011236,test,NA,NA
id_011771,valid,10,truck
id_011555,valid,9,ship
id_010242,train,8,monkey
id_011971,valid,10,truck
id_000570,train,1,airplane
id_001344,test,NA,NA
id_003229,train,3,car
id_010880,test,NA,NA
