obs_id,train_id,predator,name,hair,feathers,eggs,milk,airborne,aquatic,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize
id_000001,train,1,aardvark,1,0,0,1,0,0,1,1,1,0,0,4,0,0,1
id_000002,train,0,antelope,1,0,0,1,0,0,1,1,1,0,0,4,1,0,1
id_000003,train,1,bass,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0
id_000004,test,NA,bear,1,0,0,1,0,0,1,1,1,0,0,4,0,0,1
id_000005,train,1,boar,1,0,0,1,0,0,1,1,1,0,0,4,1,0,1
id_000006,test,NA,buffalo,1,0,0,1,0,0,1,1,1,0,0,4,1,0,1
id_000007,test,NA,calf,1,0,0,1,0,0,1,1,1,0,0,4,1,1,1
id_000008,train,0,carp,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0
id_000009,train,1,catfish,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0
id_000010,train,0,cavy,1,0,0,1,0,0,1,1,1,0,0,4,0,1,0
id_000011,train,1,cheetah,1,0,0,1,0,0,1,1,1,0,0,4,1,0,1
id_000012,train,0,chicken,0,1,1,0,1,0,0,1,1,0,0,2,1,1,0
id_000013,train,1,chub,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0
id_000014,train,1,clam,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
id_000015,train,1,crab,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0
id_000016,train,1,crayfish,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0
id_000017,train,1,crow,0,1,1,0,1,0,0,1,1,0,0,2,1,0,0
id_000018,test,NA,deer,1,0,0,1,0,0,1,1,1,0,0,4,1,0,1
id_000019,train,1,dogfish,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1
id_000020,train,1,dolphin,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1
id_000021,train,0,dove,0,1,1,0,1,0,0,1,1,0,0,2,1,1,0
id_000022,train,0,duck,0,1,1,0,1,1,0,1,1,0,0,2,1,0,0
id_000023,train,0,elephant,1,0,0,1,0,0,1,1,1,0,0,4,1,0,1
id_000024,train,0,flamingo,0,1,1,0,1,0,0,1,1,0,0,2,1,0,1
id_000025,train,0,flea,0,0,1,0,0,0,0,0,1,0,0,6,0,0,0
id_000026,train,1,frog,0,0,1,0,0,1,1,1,1,0,0,4,0,0,0
id_000027,train,1,frog,0,0,1,0,0,1,1,1,1,1,0,4,0,0,0
id_000028,train,0,fruitbat,1,0,0,1,1,0,1,1,1,0,0,2,1,0,0
id_000029,test,NA,giraffe,1,0,0,1,0,0,1,1,1,0,0,4,1,0,1
id_000030,train,1,girl,1,0,0,1,0,0,1,1,1,0,0,2,0,1,1
id_000031,train,0,gnat,0,0,1,0,1,0,0,0,1,0,0,6,0,0,0
id_000032,train,0,goat,1,0,0,1,0,0,1,1,1,0,0,4,1,1,1
id_000033,train,0,gorilla,1,0,0,1,0,0,1,1,1,0,0,2,0,0,1
